# r g(r)
0.050000 0.000000
0.150000 0.000000
0.250000 0.000000
0.350000 0.000000
0.450000 0.000000
0.550000 0.000000
0.650000 0.000000
0.750000 0.000000
0.850000 0.000000
0.950000 0.348376
1.050000 1.252514
1.150000 1.747372
1.250000 1.601649
1.350000 1.335739
1.450000 1.125397
1.550000 1.326508
1.650000 1.070155
1.750000 0.933512
1.850000 1.039183
1.950000 1.039684
2.050000 0.970041
2.150000 1.086122
2.250000 0.978227
2.350000 0.973552
2.450000 0.934457
2.550000 0.965705
2.650000 1.061747
2.750000 0.982323
2.850000 1.025772
2.950000 0.988856
3.050000 0.978027
3.150000 1.001029
3.250000 1.002554
3.350000 1.039908
3.450000 1.041424
3.550000 0.954270
3.650000 0.955076
3.750000 1.003086
3.850000 1.000579
3.950000 0.998790
4.050000 0.964259
4.150000 0.981110
4.250000 0.984721
4.350000 0.964553
4.450000 1.026711
4.550000 0.953661
4.650000 0.968769
4.750000 0.985412
4.850000 1.000455
4.950000 1.019632
5.050000 0.979115
5.150000 0.993048
5.250000 0.961040
5.350000 0.997153
5.450000 1.012028
5.550000 0.941241
5.650000 0.972081
5.750000 0.985327
5.850000 0.981515
5.950000 0.992473
6.050000 1.122542
6.150000 0.998067
6.250000 0.975492
6.350000 0.965709
6.450000 1.006707
6.550000 0.976522
6.650000 0.996259
6.750000 1.005097
6.850000 0.992878
6.950000 1.011251
7.050000 0.971480
7.150000 0.948779
7.250000 0.993850
7.350000 0.973576
7.450000 1.017380
7.550000 0.976687
7.650000 0.969790
7.750000 0.991168
7.850000 1.013148
7.950000 1.008820
8.050000 0.981801
8.150000 1.001114
8.250000 0.988249
8.350000 0.999259
8.450000 1.136520
8.550000 0.979261
8.650000 0.969733
8.750000 0.985045
8.850000 1.023354
8.950000 0.976871
9.050000 0.981798
9.150000 0.996899
9.250000 1.007923
9.350000 0.984601
9.450000 0.988694
9.550000 0.985199
9.650000 0.980608
9.750000 1.001617
9.850000 0.975883
9.950000 0.971430
10.050000 0.966689
10.150000 0.990633
10.250000 0.990412
10.350000 1.044809
10.450000 0.976420
10.550000 0.998810
10.650000 0.976643
10.750000 0.974542
10.850000 1.004081
10.950000 0.982630
11.050000 0.980950
11.150000 0.983244
11.250000 0.998490
11.350000 0.978637
11.450000 0.984891
11.550000 1.003090
11.650000 0.965277
11.750000 0.972900
11.850000 0.976427
11.950000 0.979124
12.050000 1.022777
12.150000 0.995074
12.250000 0.979624
12.350000 0.991184
12.450000 0.988390
12.550000 0.997026
12.650000 0.988849
12.750000 0.998313
12.850000 0.998993
12.950000 0.983951
13.050000 1.000905
13.150000 0.996106
13.250000 0.982842
13.350000 0.985907
13.450000 1.101998
13.550000 0.979225
13.650000 0.993496
13.750000 0.988361
13.850000 0.993257
13.950000 0.990388
14.050000 0.987014
14.150000 0.988147
14.250000 0.992924
14.350000 0.993884
14.450000 0.989219
14.550000 0.994993
14.650000 1.086263
14.750000 0.997751
14.850000 0.981753
14.950000 0.994007
