# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000611e-01 1.875000000000001066e+01 1.875000000000001066e+01 0.000000000000000000e+00 8.881784197001252323e-16 2.609024107869117870e-15 -4.440892098500626162e-16
1.000000000000000000e+02 5.000000000000000000e-01 1.000000000000000611e-01 1.875000000000001066e+01 1.875000000000001066e+01 0.000000000000000000e+00 8.881784197001252323e-16 2.609024107869117870e-15 -4.440892098500626162e-16
2.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000611e-01 1.875000000000001066e+01 1.875000000000001066e+01 0.000000000000000000e+00 8.881784197001252323e-16 2.609024107869117870e-15 -4.440892098500626162e-16
3.000000000000000000e+02 1.500000000000000000e+00 1.000000000000000611e-01 1.875000000000001066e+01 1.875000000000001066e+01 0.000000000000000000e+00 8.881784197001252323e-16 2.609024107869117870e-15 -4.440892098500626162e-16
4.000000000000000000e+02 2.000000000000000000e+00 1.000000000000000611e-01 1.875000000000001066e+01 1.875000000000001066e+01 0.000000000000000000e+00 8.881784197001252323e-16 2.609024107869117870e-15 -4.440892098500626162e-16
5.000000000000000000e+02 2.500000000000000000e+00 1.000040133074922011e-01 1.875000057477876325e+01 1.875075249515478859e+01 -7.519203760255552000e-04 6.661338147750939243e-16 3.053113317719180486e-15 -8.881784197001252323e-16
6.000000000000000000e+02 3.000000000000000000e+00 1.000284524210751508e-01 1.874999646218465088e+01 1.875533482895158954e+01 -5.338366766939343401e-03 2.442490654175344389e-15 1.720845688168992638e-15 -1.332267629550187849e-15
7.000000000000000000e+02 3.500000000000000000e+00 1.000822718127196836e-01 1.874999797049873607e+01 1.876542596488494041e+01 -1.542799438620385752e-02 -6.661338147750939243e-16 -4.996003610813204432e-16 1.332267629550187849e-15
8.000000000000000000e+02 4.000000000000000000e+00 1.001667268742875705e-01 1.874999488206768916e+01 1.878126128892892055e+01 -3.126640686123163815e-02 4.440892098500626162e-15 -1.831867990631508292e-15 1.998401444325281773e-15
9.000000000000000000e+02 4.500000000000000000e+00 1.002872357266265946e-01 1.874999791252436410e+01 1.880385669874248578e+01 -5.385878621812219963e-02 3.996802888650563546e-15 -2.053912595556539600e-15 4.440892098500626162e-16
1.000000000000000000e+03 5.000000000000000000e+00 1.004946592048951842e-01 1.874998996174576149e+01 1.884274860091784731e+01 -9.275863917208491960e-02 1.554312234475219157e-15 -1.387778780781445676e-15 4.440892098500626162e-16
1.100000000000000000e+03 5.500000000000000000e+00 1.009647542534606868e-01 1.874998657514432665e+01 1.893089142252387802e+01 -1.809048473795530632e-01 9.992007221626408864e-16 3.830269434956790064e-15 -4.440892098500626162e-16
1.200000000000000000e+03 6.000000000000000000e+00 1.026671782847075748e-01 1.875000259085739174e+01 1.925009592838267025e+01 -5.000933375252785140e-01 2.997602166487922659e-15 -2.664535259100375697e-15 -3.996802888650563546e-15
1.300000000000000000e+03 6.500000000000000000e+00 1.101454797590278034e-01 1.874966494429602193e+01 2.065227745481771393e+01 -1.902612510521691558e+00 1.998401444325281773e-15 1.110223024625156540e-16 -6.494804694057165761e-15
1.400000000000000000e+03 7.000000000000000000e+00 1.130028054953850364e-01 1.874978609795997997e+01 2.118802603038469456e+01 -2.438239932424713263e+00 -3.552713678800500929e-15 -1.276756478318930021e-15 -1.337818744673313631e-14
1.500000000000000000e+03 7.500000000000000000e+00 1.179737844945546871e-01 1.874904241736232891e+01 2.212008459272900396e+01 -3.371042175366676386e+00 -5.773159728050814010e-15 -2.664535259100375697e-15 -1.365574320288942545e-14
1.600000000000000000e+03 8.000000000000000000e+00 1.111669789845715489e-01 1.875007719479605228e+01 2.084380855960716517e+01 -2.093731364811111550e+00 -6.106226635438360972e-15 -2.997602166487922659e-15 -1.304512053934558935e-14
1.700000000000000000e+03 8.500000000000000000e+00 1.049200179905759173e-01 1.875001823586703154e+01 1.967250337323298481e+01 -9.224851373659531673e-01 -4.551914400963141816e-15 -7.771561172376095783e-16 -1.482147737874583981e-14
1.800000000000000000e+03 9.000000000000000000e+00 1.073781542203747358e-01 1.874999467691661081e+01 2.013340391632026183e+01 -1.383409239403650570e+00 1.110223024625156540e-16 -1.110223024625156540e-15 -1.382227665658319893e-14
1.900000000000000000e+03 9.500000000000000000e+00 1.037553842549216315e-01 1.875053341170124455e+01 1.945413454779780693e+01 -7.036011360965628292e-01 1.554312234475219157e-15 -6.383782391594650107e-15 -7.771561172376095783e-15
2.000000000000000000e+03 1.000000000000000000e+01 1.030717336163829018e-01 1.875000440752227604e+01 1.932595005307179292e+01 -5.759456455495184368e-01 4.440892098500626162e-16 -2.498001805406602216e-15 -1.021405182655144017e-14
2.100000000000000000e+03 1.050000000000000000e+01 1.031027526668635425e-01 1.874999979015083085e+01 1.933176612503691416e+01 -5.817663348860820927e-01 -1.776356839400250465e-15 -1.665334536937734811e-15 -1.237898672457049543e-14
2.200000000000000000e+03 1.100000000000000000e+01 1.068365848997837042e-01 1.874929485082426339e+01 2.003185966870944412e+01 -1.282564817885181396e+00 -3.885780586188047891e-15 7.771561172376095783e-16 -1.687538997430237941e-14
2.300000000000000000e+03 1.150000000000000000e+01 1.067636417968495233e-01 1.875002835236944421e+01 2.001818283690928624e+01 -1.268154484539842475e+00 -3.108624468950438313e-15 -3.219646771412953967e-15 -2.065014825802791165e-14
2.400000000000000000e+03 1.200000000000000000e+01 1.130054415023478837e-01 1.874968044500480602e+01 2.118852028169022716e+01 -2.438839836685422480e+00 -1.609823385706476984e-15 -5.495603971894524875e-15 -2.264854970235319342e-14
2.500000000000000000e+03 1.250000000000000000e+01 1.115847287419454159e-01 1.875008183941986317e+01 2.092213663911476473e+01 -2.172054799694900673e+00 -3.330669073875469621e-16 -7.535638779643250018e-15 -1.959543638463401294e-14
2.600000000000000000e+03 1.300000000000000000e+01 1.102863240959724989e-01 1.875088867379702862e+01 2.067868576799484259e+01 -1.927797094197813532e+00 -3.219646771412953967e-15 -3.781697177629439466e-15 -2.070565940925916948e-14
2.700000000000000000e+03 1.350000000000000000e+01 1.175247277192633943e-01 1.874991970970897626e+01 2.203588644736188584e+01 -3.285966737652909142e+00 1.110223024625156540e-16 -6.390721285498557336e-15 -2.156608225334366580e-14
2.800000000000000000e+03 1.400000000000000000e+01 1.311466945139210805e-01 1.874736257482417656e+01 2.459000522136020095e+01 -5.842642646536023499e+00 -1.110223024625156540e-15 -5.308253836489029709e-15 -2.461919557106284628e-14
2.900000000000000000e+03 1.450000000000000000e+01 1.186236650446234470e-01 1.875005554954974230e+01 2.224193719586689610e+01 -3.491881646317152477e+00 -1.887379141862766119e-15 -5.835609773185979066e-15 -3.053113317719180486e-14
3.000000000000000000e+03 1.500000000000000000e+01 1.216635692263975527e-01 1.875045116090135977e+01 2.281191922994954169e+01 -4.061468069048181029e+00 1.554312234475219157e-15 -6.779299344117362125e-15 -2.833844270355712069e-14
3.100000000000000000e+03 1.550000000000000000e+01 1.245388726884881780e-01 1.875012300090325112e+01 2.335103862909153349e+01 -4.600915628188282369e+00 3.330669073875469621e-16 -1.122019144261798829e-14 -3.114175584073564096e-14
3.200000000000000000e+03 1.600000000000000000e+01 1.297824270082856835e-01 1.874860106386453040e+01 2.433420506405356676e+01 -5.585604000189037244e+00 -1.998401444325281773e-15 -8.659739592076221015e-15 -3.516631430500183342e-14
3.300000000000000000e+03 1.650000000000000000e+01 1.338484526827882493e-01 1.875058259679514094e+01 2.509658487802279581e+01 -6.346002281227654862e+00 -2.109423746787797427e-15 -8.465450562766818621e-15 -3.438915818776422384e-14
3.400000000000000000e+03 1.700000000000000000e+01 1.231044681126961110e-01 1.874961264163233565e+01 2.308208777113052079e+01 -4.332475129498186028e+00 2.220446049250313081e-15 -3.733124920302088867e-15 -4.074518500374324503e-14
3.500000000000000000e+03 1.750000000000000000e+01 1.217096820012149166e-01 1.875030124300360512e+01 2.282056537522779749e+01 -4.070264132224191478e+00 7.771561172376095783e-16 -1.073446886934448230e-14 -3.924638392049928370e-14
