# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 9.999999999999998890e-01 1.874999999999999716e+02 1.874999999999999716e+02 0.000000000000000000e+00 1.199040866595169064e-14 2.442490654175344389e-15 -2.109423746787797427e-15
1.000000000000000000e+02 5.000000000000000000e-01 9.999999999999998890e-01 1.874999999999999716e+02 1.874999999999999716e+02 0.000000000000000000e+00 1.199040866595169064e-14 2.442490654175344389e-15 -2.109423746787797427e-15
2.000000000000000000e+02 1.000000000000000000e+00 1.000041896296012256e+00 1.874999943021562103e+02 1.875078555555023172e+02 -7.861253346111519991e-03 5.329070518200751394e-15 5.995204332975845318e-15 -6.106226635438360972e-15
3.000000000000000000e+02 1.500000000000000000e+00 1.000359395148206154e+00 1.875000007163420150e+02 1.875673865902886632e+02 -6.738587394663450580e-02 8.881784197001252323e-16 7.771561172376095783e-15 8.992806499463767977e-15
4.000000000000000000e+02 2.000000000000000000e+00 1.003415777459585101e+00 1.875000781744983271e+02 1.881404582736722091e+02 -6.403800991738790582e-01 0.000000000000000000e+00 -8.437694987151189707e-15 7.882583474838611437e-15
5.000000000000000000e+02 2.500000000000000000e+00 1.016032809335920994e+00 1.874982954349802924e+02 1.905061517504851736e+02 -3.007856315504868761e+00 -1.776356839400250465e-15 -9.103828801926283631e-15 1.998401444325281773e-15
6.000000000000000000e+02 3.000000000000000000e+00 1.007487187956384256e+00 1.875013532527320308e+02 1.889038477418220339e+02 -1.402494489090012841e+00 -8.437694987151189707e-15 -7.993605777301127091e-15 -2.664535259100375697e-15
7.000000000000000000e+02 3.500000000000000000e+00 1.009057771635202494e+00 1.875000183302385324e+02 1.891983321816004775e+02 -1.698313851361940241e+00 -1.998401444325281773e-15 -1.110223024625156540e-14 -6.217248937900876626e-15
8.000000000000000000e+02 4.000000000000000000e+00 1.010584551889506910e+00 1.874975188329286198e+02 1.894846034792825549e+02 -1.987084646353925343e+00 -9.325873406851314940e-15 -9.159339953157541458e-15 -1.176836406102665933e-14
9.000000000000000000e+02 4.500000000000000000e+00 1.028738947952760441e+00 1.874982832117335363e+02 1.928885527411425755e+02 -5.390269529409048133e+00 -1.154631945610162802e-14 -1.104671909502030758e-14 -1.532107773982716026e-14
1.000000000000000000e+03 5.000000000000000000e+00 1.014070428111265798e+00 1.874998718149621766e+02 1.901382052708623576e+02 -2.638333455900178315e+00 -2.220446049250313081e-15 -2.137179322403426340e-14 -2.603472992745992087e-14
1.100000000000000000e+03 5.500000000000000000e+00 1.011230241830976651e+00 1.875018984840753546e+02 1.896056703433081054e+02 -2.103771859232736574e+00 -1.243449787580175325e-14 -5.384581669432009221e-15 -1.137978600240785454e-14
1.200000000000000000e+03 6.000000000000000000e+00 1.019196246450772003e+00 1.874998160308304023e+02 1.910992962095197356e+02 -3.599480178689328902e+00 -8.215650382226158399e-15 -1.412758798835511698e-14 -1.632027846198980114e-14
1.300000000000000000e+03 6.500000000000000000e+00 1.018027607421232661e+00 1.874994216073685038e+02 1.908801763914811147e+02 -3.380754784112608657e+00 1.998401444325281773e-15 -1.931788062847772380e-14 -1.199040866595169064e-14
1.400000000000000000e+03 7.000000000000000000e+00 1.014420394966567551e+00 1.874985833811179532e+02 1.902038240562314115e+02 -2.705240675113463666e+00 3.108624468950438313e-15 -1.690314554991800833e-14 -1.815214645262130944e-14
1.500000000000000000e+03 7.500000000000000000e+00 1.016724732195115832e+00 1.874986988982645357e+02 1.906358872865842216e+02 -3.137188388319694266e+00 4.440892098500626162e-16 -1.473821065189895307e-14 -1.060262988517024496e-14
1.600000000000000000e+03 8.000000000000000000e+00 1.020582974177188351e+00 1.874909702780928455e+02 1.913593076582228036e+02 -3.868337380129943881e+00 -2.220446049250313081e-16 -1.804112415015879378e-14 -9.936496070395151037e-15
1.700000000000000000e+03 8.500000000000000000e+00 1.023190356103604204e+00 1.874997839737215202e+02 1.918481917694257675e+02 -4.348407795704252621e+00 1.754152378907747334e-14 -1.967870311148089968e-14 1.210143096841420629e-14
1.800000000000000000e+03 9.000000000000000000e+00 1.015257302892591973e+00 1.874995432615663447e+02 1.903607442923610051e+02 -2.861201030794653377e+00 1.199040866595169064e-14 -1.301736496372996044e-14 -6.161737786669618799e-15
1.900000000000000000e+03 9.500000000000000000e+00 1.020650761315382571e+00 1.874999093549434690e+02 1.913720177466342420e+02 -3.872108391690780138e+00 1.554312234475219157e-14 -2.278732758043133799e-14 6.050715484207103145e-15
2.000000000000000000e+03 1.000000000000000000e+01 1.015665319812149470e+00 1.875001136248802425e+02 1.904372474647780109e+02 -2.937133839897758669e+00 2.020605904817784904e-14 -2.900457651833221462e-14 -3.219646771412953967e-15
2.100000000000000000e+03 1.050000000000000000e+01 1.038210511598852914e+00 1.874999765064900146e+02 1.946644709247849221e+02 -7.164494418294898637e+00 1.509903313490212895e-14 -3.544387006115812255e-14 -5.162537064506977913e-15
2.200000000000000000e+03 1.100000000000000000e+01 1.042377613550229842e+00 1.874989844283703064e+02 1.954458025406680974e+02 -7.946818112297800774e+00 1.421085471520200372e-14 -5.387357226993572112e-14 -3.164135620181696140e-15
2.300000000000000000e+03 1.150000000000000000e+01 1.021842462993659328e+00 1.875001584201964135e+02 1.915954618113111110e+02 -4.095303391114698321e+00 -2.220446049250313081e-15 -5.964673199798653513e-14 2.442490654175344389e-15
2.400000000000000000e+03 1.200000000000000000e+01 1.017312969533934019e+00 1.875002672011867162e+02 1.907461817876126418e+02 -3.245914586425939330e+00 -1.332267629550187849e-14 -6.764033777528766223e-14 7.993605777301127091e-15
2.500000000000000000e+03 1.250000000000000000e+01 1.015134998393350640e+00 1.874997331302782300e+02 1.903378121987532268e+02 -2.838079068474987032e+00 -1.154631945610162802e-14 -5.787037515858628467e-14 1.149080830487037019e-14
2.600000000000000000e+03 1.300000000000000000e+01 1.033108104063035437e+00 1.874997384099553983e+02 1.937077695118191514e+02 -6.208031101863738854e+00 -1.953992523340275511e-14 -6.253331186201194214e-14 4.940492459581946605e-15
2.700000000000000000e+03 1.350000000000000000e+01 1.024533733718512973e+00 1.875000498817746291e+02 1.921000750722211876e+02 -4.600025190446560330e+00 -3.752553823233029107e-14 -5.609401831918603420e-14 1.404432126150823024e-14
2.800000000000000000e+03 1.400000000000000000e+01 1.022302950523256371e+00 1.875001109582276513e+02 1.916818032231105633e+02 -4.181692264882923560e+00 -3.597122599785507191e-14 -5.836997551966760511e-14 1.632027846198980114e-14
2.900000000000000000e+03 1.450000000000000000e+01 1.018061222598933391e+00 1.875001033289350971e+02 1.908864792373000228e+02 -3.386375908364924747e+00 -4.174438572590588592e-14 -6.220024495462439518e-14 2.475797344914099085e-14
3.000000000000000000e+03 1.500000000000000000e+01 1.023923425516177987e+00 1.874998404599716082e+02 1.919856422842833865e+02 -4.485801824311772990e+00 -5.440092820663267048e-14 -7.008282842946300661e-14 2.536859611268482695e-14
3.100000000000000000e+03 1.550000000000000000e+01 1.031607817743580346e+00 1.874999726346761975e+02 1.934264658269213157e+02 -5.926493192245126274e+00 -4.862776847858185647e-14 -6.142308883738678560e-14 3.552713678800500929e-15
3.200000000000000000e+03 1.600000000000000000e+01 1.018338104158747592e+00 1.875001829328975589e+02 1.909383945297651621e+02 -3.438211596867613906e+00 -4.884981308350688778e-14 -5.898059818321144121e-14 9.436895709313830594e-16
3.300000000000000000e+03 1.650000000000000000e+01 1.020441758393861642e+00 1.875000826863512771e+02 1.913328296988490536e+02 -3.832747012497768058e+00 -5.506706202140776441e-14 -6.608602554081244307e-14 -5.828670879282071837e-15
3.400000000000000000e+03 1.700000000000000000e+01 1.027343218039588058e+00 1.875001459963275465e+02 1.926268533824227802e+02 -5.126707386095225694e+00 -4.063416270128072938e-14 -6.497580251618728653e-14 5.107025913275720086e-15
3.500000000000000000e+03 1.750000000000000000e+01 1.025736542867867529e+00 1.875001110510278579e+02 1.923256017877251622e+02 -4.825490736697307881e+00 -3.197442310920450836e-14 -6.697420396051256830e-14 4.940492459581946605e-15
