# temperature U_4x2x2 U_6x3x3 U_8x4x4
7.399999999999999911e-01 1.985317442045232861e+00 1.626573008178779478e+00 1.602814795551747995e+00
8.000000000000000444e-01 1.683694211197577006e+00 1.534122627409270301e+00 1.544816885841728604e+00
8.599999999999999867e-01 1.754987611788018098e+00 1.495569377947547629e+00 1.596721941113248056e+00
9.000000000000000222e-01 1.350163843039990708e+00 1.566815918817362263e+00 1.647125207158974813e+00
9.399999999999999467e-01 1.900754949920814951e+00 1.571864733491433963e+00 1.729145996832876619e+00
9.799999999999999822e-01 1.747287411344499830e+00 1.655964481248438203e+00 1.805715065704252442e+00
1.000000000000000000e+00 1.780834303133097762e+00 1.805121496095652756e+00 1.965849060943664961e+00
1.020000000000000018e+00 2.033009465546464334e+00 1.793329927275135960e+00 1.985566722196260736e+00
1.040000000000000036e+00 1.975071871566308701e+00 2.108580276603681636e+00 2.276973992033861638e+00
1.060000000000000053e+00 2.135227697988547391e+00 2.329867615068456299e+00 2.451908112979755749e+00
1.080000000000000071e+00 2.606277303511569166e+00 2.510297206705331075e+00 2.555982833804395504e+00
1.090000000000000080e+00 2.710984431486779922e+00 2.676232614636761209e+00 2.672888255827373882e+00
1.100000000000000089e+00 2.626623377447258711e+00 2.611503546655484342e+00 2.656503791289760663e+00
1.110000000000000098e+00 2.503308197618969722e+00 2.614125478253511048e+00 2.637982364993396001e+00
1.120000000000000107e+00 2.563578666107333870e+00 2.540520289305169932e+00 2.574403611284464599e+00
1.129999999999999893e+00 2.526657885534791426e+00 2.646452417795521761e+00 2.645719610924485377e+00
1.139999999999999902e+00 2.809672984863142098e+00 2.753298127695333442e+00 2.735278697093903588e+00
1.149999999999999911e+00 2.805989862506016674e+00 2.822286720985347497e+00 2.740971199510113809e+00
1.159999999999999920e+00 2.857165005688302006e+00 2.813248961849899921e+00 2.762091561459800282e+00
1.169999999999999929e+00 2.828295214418969472e+00 2.768121125259127790e+00 2.745894645174409732e+00
1.179999999999999938e+00 2.861453427168744845e+00 2.838671625588971459e+00 2.765221126798983686e+00
1.189999999999999947e+00 2.856040535756132037e+00 2.790650043089906163e+00 2.766534546822847496e+00
1.199999999999999956e+00 2.919381594743622799e+00 2.810142101648558377e+00 2.760187602040144128e+00
