# temperature P_rho_0.0075 P_rho_0.0225 P_rho_0.0375 P_rho_0.0525 P_rho_0.0675 P_rho_0.0825 P_rho_0.0975 P_rho_0.1125 P_rho_0.1275 P_rho_0.1425 P_rho_0.1575 P_rho_0.1725 P_rho_0.1875 P_rho_0.2025 P_rho_0.2175 P_rho_0.2325 P_rho_0.2475 P_rho_0.2625 P_rho_0.2775 P_rho_0.2925 P_rho_0.3075 P_rho_0.3225 P_rho_0.3375 P_rho_0.3525 P_rho_0.3675 P_rho_0.3825 P_rho_0.3975 P_rho_0.4125 P_rho_0.4275 P_rho_0.4425 P_rho_0.4575 P_rho_0.4725 P_rho_0.4875 P_rho_0.5025 P_rho_0.5175 P_rho_0.5325 P_rho_0.5475 P_rho_0.5625 P_rho_0.5775 P_rho_0.5925 P_rho_0.6075 P_rho_0.6225 P_rho_0.6375 P_rho_0.6525 P_rho_0.6675 P_rho_0.6825 P_rho_0.6975 P_rho_0.7125 P_rho_0.7275 P_rho_0.7425 P_rho_0.7575 P_rho_0.7725 P_rho_0.7875 P_rho_0.8025 P_rho_0.8175 P_rho_0.8325 P_rho_0.8475 P_rho_0.8625 P_rho_0.8775 P_rho_0.8925 P_rho_0.9075 P_rho_0.9225 P_rho_0.9375 P_rho_0.9525 P_rho_0.9675 P_rho_0.9825 P_rho_0.9975 P_rho_1.0125 P_rho_1.0275 P_rho_1.0425 P_rho_1.0575 P_rho_1.0725 P_rho_1.0875 P_rho_1.1025 P_rho_1.1175 P_rho_1.1325 P_rho_1.1475 P_rho_1.1625 P_rho_1.1775 P_rho_1.1925 P_rho_1.2075 P_rho_1.2225 P_rho_1.2375 P_rho_1.2525 P_rho_1.2675 P_rho_1.2825 P_rho_1.2975 P_rho_1.3125 P_rho_1.3275 P_rho_1.3425 P_rho_1.3575 P_rho_1.3725 P_rho_1.3875 P_rho_1.4025 P_rho_1.4175 P_rho_1.4325 P_rho_1.4475 P_rho_1.4625 P_rho_1.4775 P_rho_1.4925
7.399999999999999911e-01 1.555604888938222352e+01 1.121964455297788632e+01 4.560871227537894868e+00 1.434368101034767751e+00 3.971337304670638502e-01 1.011334344667678131e-01 4.193337526670860155e-02 1.850001850001850232e-02 3.700003700003700290e-03 1.233334566667900097e-03 2.466669133335800193e-03 6.166672833339500483e-03 1.356668023334690019e-02 1.110001110001110000e-02 1.973335306668640154e-02 3.946670613337280309e-02 8.140008140008141158e-02 1.455334788668121992e-01 1.652668319334986147e-01 2.503669170335837135e-01 3.478003478003477977e-01 5.093671760338427390e-01 6.475006475006475082e-01 8.473008473008473151e-01 0.000000000000000000e+00 9.953009953009953614e-01 1.132201132201132276e+00 1.225934559267892743e+00 1.451634784968118375e+00 1.406001406001406107e+00 1.484934818268151657e+00 1.533034866368199856e+00 1.466434799768133290e+00 1.457801457801457978e+00 1.309801309801309932e+00 1.154401154401154539e+00 1.016267682934349770e+00 8.954008954008955135e-01 7.141007141007141845e-01 5.426672093338760217e-01 4.403004403004403544e-01 3.342336675670009027e-01 2.565335898669232062e-01 2.306335639668973259e-01 2.577669244335911158e-01 3.354670021336688124e-01 5.352672019338686749e-01 7.733007733007734030e-01 1.165501165501165559e+00 0.000000000000000000e+00 1.386268052934719774e+00 1.509601509601509628e+00 1.540434873768207202e+00 1.286367953034619704e+00 9.805009805009805568e-01 6.771006771006771174e-01 3.909670576337243020e-01 1.985668652335319251e-01 9.866676533343200772e-02 4.440004440004440001e-02 1.233334566667900097e-02 4.933338266671600386e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000444e-01 7.657774324440991265e+00 1.026134359467692825e+01 7.437007437007437716e+00 4.184704184704185259e+00 2.110235443568777125e+00 9.163675830342498108e-01 4.094670761337428355e-01 1.813001813001813012e-01 8.140008140008141158e-02 4.563337896671230270e-02 4.563337896671230270e-02 3.700003700003700463e-02 6.290006290006290579e-02 7.893341226674560618e-02 1.233334566667900062e-01 1.467668134334801089e-01 1.936335269668603143e-01 2.590002590002590255e-01 3.021669688336355297e-01 3.823337156670490455e-01 4.884004884004884417e-01 5.747339080672414502e-01 6.882006882006882487e-01 8.312674979341646564e-01 0.000000000000000000e+00 8.374341707675041491e-01 9.496676163342830934e-01 1.015034348367681805e+00 1.175367842034508836e+00 1.164267830934497594e+00 1.261701261701261734e+00 1.265401265401265407e+00 1.281434614767948288e+00 1.192634525967859460e+00 1.135901135901135950e+00 1.022434355767689151e+00 1.008867675534342201e+00 9.151342484675818456e-01 8.522341855675189537e-01 7.215007215007215313e-01 6.746340079673412982e-01 6.055672722339389136e-01 6.635339968673302780e-01 7.560340893674227791e-01 9.509009509009509475e-01 1.217301217301217431e+00 1.398601398601398760e+00 1.555234888568221896e+00 1.483701483701483692e+00 0.000000000000000000e+00 1.269101269101269081e+00 1.010101010101010166e+00 7.252007252007252047e-01 5.143005143005143776e-01 2.935336268669602178e-01 1.529334862668196016e-01 6.290006290006290579e-02 2.220002220002220000e-02 8.633341966675299808e-03 3.700003700003700290e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.599999999999999867e-01 3.362070028736695804e+00 6.539139872473206161e+00 7.208840542173875932e+00 5.910139243472577242e+00 4.109470776137443160e+00 2.664002664002664389e+00 1.551534884868218223e+00 8.658008658008659042e-01 5.167671834338500858e-01 3.034003034003034394e-01 1.554001554001554208e-01 8.756675423342090425e-02 7.770007770007771042e-02 9.126675793342460541e-02 9.373342706676041081e-02 1.233334566667900062e-01 1.985668652335319251e-01 2.343335676669010270e-01 3.231336564669898270e-01 3.564336897670231097e-01 4.822338155671489490e-01 5.426672093338760217e-01 6.660006660006660972e-01 8.214008214008214903e-01 0.000000000000000000e+00 9.496676163342830934e-01 9.916009916009916880e-01 1.074234407567741023e+00 1.196334529667863134e+00 1.322134655467988917e+00 1.346801346801346888e+00 1.404768071434738141e+00 1.319667986334652987e+00 1.323367990034656883e+00 1.276501276501276649e+00 1.224701224701224778e+00 1.142067808734475554e+00 1.005167671834338528e+00 8.978675645342312217e-01 8.793675460342127437e-01 9.114342447675781722e-01 1.040934374267707740e+00 1.174134507467840871e+00 1.361601361601361804e+00 1.350501350501350561e+00 1.435601435601435716e+00 1.376401376401376497e+00 1.148234481567814935e+00 9.151342484675818456e-01 0.000000000000000000e+00 5.698005698005698116e-01 3.798670465337132263e-01 2.133668800335467020e-01 8.880008880008880001e-02 4.686671353338020540e-02 8.633341966675299808e-03 6.166672833339500483e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000222e-01 1.398601398601398760e+00 3.400303400303400725e+00 4.933338266671600358e+00 5.358838692172025908e+00 4.613904613904614038e+00 3.555703555703555896e+00 2.618369285035951677e+00 1.885768552435219236e+00 1.468901468901468998e+00 1.155634488967822282e+00 9.299342632675966502e-01 8.867675534342202015e-01 7.930341263674597352e-01 7.252007252007252047e-01 7.696007696007696186e-01 8.127674794341461784e-01 7.313673980340646974e-01 7.363007363007363359e-01 7.461674128340795020e-01 7.264340597673931699e-01 7.042340375673709074e-01 6.943673610340277413e-01 6.808006808006809019e-01 6.746340079673412982e-01 0.000000000000000000e+00 7.326007326007326625e-01 6.265339598672932109e-01 7.079340412673746918e-01 6.203672870339537182e-01 6.758673425340092633e-01 6.845006845006845753e-01 7.757674424341091113e-01 8.325008325008325105e-01 8.275674942341609830e-01 9.287009287009287961e-01 1.048334381667715087e+00 1.100134433467766959e+00 1.295001295001295016e+00 1.389968056634723448e+00 1.608268274934941733e+00 1.699535032868366269e+00 1.767368434035100799e+00 1.706935040268373616e+00 1.650201650201650327e+00 1.491101491101491261e+00 1.164267830934497594e+00 8.769008769008769244e-01 6.302339635672969953e-01 3.798670465337132263e-01 0.000000000000000000e+00 2.454335787669121305e-01 1.085334418667752016e-01 4.440004440004440001e-02 2.836669503336170309e-02 1.356668023334690019e-02 3.700003700003700290e-03 1.233334566667900097e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.399999999999999467e-01 6.068006068006068787e-01 1.916601916601916811e+00 3.357136690470023943e+00 4.246370913037580408e+00 4.534971201637868710e+00 4.420271086937753502e+00 3.622303622303622461e+00 2.889702889702889799e+00 2.391435724769058080e+00 1.780935114268447750e+00 1.265401265401265407e+00 1.000234333567666889e+00 6.401006401006401614e-01 5.303338636671970363e-01 4.341337674671008062e-01 3.959003959003959405e-01 4.131670798337465089e-01 4.489337822671156109e-01 5.093671760338427390e-01 5.858339191672525814e-01 6.734006734006734440e-01 7.831674498341165691e-01 8.917008917008917290e-01 9.792676459343127027e-01 0.000000000000000000e+00 1.052034385367718761e+00 1.127267793934460638e+00 1.219767886434553139e+00 1.223467890134556812e+00 1.296234629567962982e+00 1.291301291301291343e+00 1.272801272801272976e+00 1.315967982634649314e+00 1.328301328301328299e+00 1.327067993734660556e+00 1.283901283901283996e+00 1.338168004834671576e+00 1.391201391201391191e+00 1.425734759068092439e+00 1.505901505901505955e+00 1.540434873768207202e+00 1.502201502201502281e+00 1.260467927134593991e+00 1.091501091501091647e+00 8.707342040675374317e-01 6.956006956006955955e-01 4.501671168337835205e-01 2.787336120669454131e-01 1.418334751668084981e-01 0.000000000000000000e+00 6.906673573340239847e-02 3.083336416669750155e-02 9.866676533343200772e-03 6.166672833339500483e-03 2.466669133335800193e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.799999999999999822e-01 2.750336083669417397e-01 1.006401006401006493e+00 1.941268607935274781e+00 2.877369544036211035e+00 3.524870191536858322e+00 3.744403744403744572e+00 3.653136986470320036e+00 3.114169780836447909e+00 2.733069399736066440e+00 2.401302401302401357e+00 1.963468630135297044e+00 1.658834992168325639e+00 1.430668097334764077e+00 1.216067882734549466e+00 1.084101084101084078e+00 9.829676496343163761e-01 1.033534366867700172e+00 9.250009250009250117e-01 9.447342780676114549e-01 9.866676533343200495e-01 9.040342373675707144e-01 8.707342040675374317e-01 9.311675978342646154e-01 9.620009620009620788e-01 0.000000000000000000e+00 9.583009583009584054e-01 1.029834363167696498e+00 1.073001073001073058e+00 1.116167782834449618e+00 1.274034607367940719e+00 1.243201243201243367e+00 1.254301254301254387e+00 1.408468075134741815e+00 1.549068215734882514e+00 1.645268311934978689e+00 1.693368360035026887e+00 1.714335047668381184e+00 1.648968315634982362e+00 1.637868304534971342e+00 1.460268126934793687e+00 1.259234592567926025e+00 1.100134433467766959e+00 8.719675386342053969e-01 6.031006031006030943e-01 4.477004477004477567e-01 2.220002220002220139e-01 1.529334862668196016e-01 7.646674313340980078e-02 3.083336416669750155e-02 0.000000000000000000e+00 1.603334936668270039e-02 8.633341966675299808e-03 3.700003700003700290e-03 2.466669133335800193e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 7.276673943340609962e-02 3.293003293003293197e-01 8.103008103008103591e-01 1.595934929268262747e+00 2.160802160802160810e+00 2.719502719502719490e+00 2.989602989602989869e+00 3.179536512869846288e+00 3.126503126503126673e+00 2.930402930402930650e+00 2.545602545602545952e+00 2.249602249602249859e+00 2.096668763335430175e+00 1.951135284468617836e+00 1.708168374835041581e+00 1.536734870068203529e+00 1.463968130634797360e+00 1.335701335701335868e+00 1.348034681368014853e+00 1.295001295001295016e+00 1.214834548167881501e+00 1.287601287601287670e+00 1.267867934534601337e+00 1.299934633267966655e+00 0.000000000000000000e+00 1.275267941934608684e+00 1.394901394901395086e+00 1.526868193534860252e+00 1.403534736868070398e+00 1.689668356335023214e+00 1.647734981068314619e+00 1.690901690901690957e+00 1.782168448835115715e+00 1.725435058768392205e+00 1.647734981068314619e+00 1.641568308234975015e+00 1.418334751668085092e+00 1.314734648067981571e+00 1.085334418667752043e+00 9.188342521675855190e-01 6.906673573340240679e-01 4.748338081671415467e-01 3.601336934670268386e-01 2.059668726335393274e-01 1.233334566667900062e-01 7.400007400007400926e-02 3.453336786670119923e-02 1.850001850001850232e-02 6.166672833339500483e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.020000000000000018e+00 4.686671353338020540e-02 3.034003034003034394e-01 7.104007104007104001e-01 1.366534699868033220e+00 2.032535365868699540e+00 2.599869266535933310e+00 3.119103119103119326e+00 3.246136579469912853e+00 3.253536586869920644e+00 2.926702926702926977e+00 2.672636005969339479e+00 2.438302438302438535e+00 2.174368841035507760e+00 1.952368619035285802e+00 1.681035014368347902e+00 1.498501498501498608e+00 1.306101306101306259e+00 1.232101232101232124e+00 1.218534551867885174e+00 1.253067919734586422e+00 1.245667912334579075e+00 1.228401228401228451e+00 1.317201317201317279e+00 1.344334677668011180e+00 0.000000000000000000e+00 1.507134840468173920e+00 1.466434799768133290e+00 1.574968241634908450e+00 1.711868378535045254e+00 1.732835066168399552e+00 1.783401783401783458e+00 1.780935114268447750e+00 1.820401820401820414e+00 1.742701742701742829e+00 1.645268311934978689e+00 1.477534810868144310e+00 1.439301439301439389e+00 1.191401191401191495e+00 1.060667727334394073e+00 8.460675127341794610e-01 6.142006142006142255e-01 4.489337822671156109e-01 2.910669577336243985e-01 1.529334862668196016e-01 1.097667764334431112e-01 5.180005180005180232e-02 2.343335676669010270e-02 1.603334936668270039e-02 8.633341966675299808e-03 0.000000000000000000e+00 1.233334566667900097e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.040000000000000036e+00 1.233334566667900097e-02 6.906673573340239847e-02 1.887001887001887035e-01 4.625004625004625058e-01 8.485341818675152803e-01 1.345568012234678923e+00 1.915368582035248846e+00 2.297702297702298058e+00 2.657835991169324785e+00 2.803369470036136679e+00 3.010569677236344166e+00 3.005636338969672305e+00 2.940269606936273927e+00 2.840369507036173857e+00 2.644269310935977835e+00 2.548069214735881438e+00 2.403769070435737287e+00 2.196568863235530245e+00 2.083102083102083224e+00 1.946201946201946420e+00 1.938801938801938851e+00 1.909201909201909242e+00 1.843835177168510642e+00 1.800668467335134082e+00 0.000000000000000000e+00 1.869735203068536578e+00 1.722968389635056496e+00 1.740235073568407120e+00 1.804368471035137755e+00 1.783401783401783458e+00 1.729135062468395878e+00 1.630468297134963995e+00 1.503434836768170246e+00 1.402301402301402433e+00 1.334468001134667903e+00 1.108767775434442271e+00 9.916009916009916880e-01 7.400007400007400094e-01 5.562338895672229722e-01 4.070004070004070162e-01 2.577669244335911158e-01 1.924001924001924047e-01 9.866676533343200772e-02 4.193337526670860155e-02 1.850001850001850232e-02 1.233334566667900097e-02 4.933338266671600386e-03 2.466669133335800193e-03 1.233334566667900097e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.060000000000000053e+00 4.933338266671600386e-03 2.590002590002590116e-02 7.893341226674560618e-02 2.417335750669084293e-01 4.723671390338057274e-01 6.943673610340277413e-01 1.082867749534416335e+00 1.524401524401524544e+00 1.957301957301957440e+00 2.307568974235640891e+00 2.628235961569294954e+00 2.800902800902801193e+00 2.939036272369605740e+00 3.100603100603100959e+00 3.029069695736362533e+00 3.038936372269705810e+00 3.027836361169694790e+00 2.983436316769650265e+00 2.916836250169583700e+00 2.872436205769539175e+00 2.766369433036099945e+00 2.692369359036026033e+00 2.599869266535933310e+00 2.525869192535859398e+00 0.000000000000000000e+00 2.308802308802309078e+00 2.366769033435700109e+00 2.095435428768762431e+00 2.021435354768688075e+00 1.821635154968488379e+00 1.623068289734956426e+00 1.449168115834782666e+00 1.185234518567851891e+00 9.126675793342460263e-01 7.683674350341017645e-01 6.388673055339721962e-01 4.156337489670823282e-01 2.861336194669528155e-01 2.072002072002072093e-01 1.122334455667789027e-01 7.770007770007771042e-02 3.330003330003330347e-02 1.850001850001850232e-02 8.633341966675299808e-03 0.000000000000000000e+00 3.700003700003700290e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
