# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.001001001001001978e+00 -2.967424304603168821e+03 1.500000000000001592e+03 -4.467424304603170640e+03 2.420286193682841258e-14 6.172840016915870365e-14 6.128431095930864103e-14
1.000000000000000000e+02 5.000000000000000000e-01 9.111704830923990084e-01 -2.809719141547334402e+03 1.365388968913959843e+03 -4.175108110461294018e+03 3.952393967665557284e-14 6.789013795582832245e-14 -1.276756478318930021e-14
2.000000000000000000e+02 1.000000000000000000e+00 8.667842189080491311e-01 -2.746188702712951454e+03 1.298876152033711605e+03 -4.045064854746663059e+03 7.549516567451064475e-15 4.190571500917172898e-14 -5.428990590417015483e-14
3.000000000000000000e+02 1.500000000000000000e+00 8.273589864174917263e-01 -2.618096906575688081e+03 1.239797441146611391e+03 -3.857894347722299244e+03 -1.618705169903478236e-13 5.197231534026514055e-14 -5.329070518200751394e-14
4.000000000000000000e+02 2.000000000000000000e+00 8.298510283854689806e-01 -2.503784756202863718e+03 1.243531766035625196e+03 -3.747316522238489142e+03 -6.772360450213454897e-14 -2.514655150775979564e-14 -2.398081733190338127e-14
5.000000000000000000e+02 2.500000000000000000e+00 8.227098682344949898e-01 -2.419055293915003858e+03 1.232830737549390733e+03 -3.651886031464394819e+03 7.105427357601001859e-15 -5.314498841002546214e-14 -2.708944180085381959e-14
6.000000000000000000e+02 3.000000000000000000e+00 8.839869757095686342e-01 -2.298830324502232088e+03 1.324654483100788639e+03 -3.623484807603020727e+03 -4.618527782440651208e-14 -6.879219416333626214e-14 4.174438572590588592e-14
7.000000000000000000e+02 3.500000000000000000e+00 8.512903512480595181e-01 -2.322805297485660958e+03 1.275658591345217246e+03 -3.598463888830878204e+03 -4.618527782440651208e-14 -1.518507541931057858e-13 1.620925615952728549e-14
8.000000000000000000e+02 4.000000000000000000e+00 8.843202560436613791e-01 -2.233778873822548576e+03 1.325153903681426527e+03 -3.558932777503975103e+03 -2.531308496145356912e-14 -1.941641292191320645e-13 -1.820765760385256726e-14
9.000000000000000000e+02 4.500000000000000000e+00 9.081894326041584087e-01 -2.172073453072841403e+03 1.360921864757331377e+03 -3.532995317830172553e+03 -4.030109579389318242e-14 -1.357386425482332015e-13 -6.150635556423367234e-14
