# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.021021021021021991e+00 -2.937424304603169276e+03 1.530000000000001364e+03 -4.467424304603170640e+03 1.043609643147647148e-14 -3.189115638235762162e-14 2.287059430727822473e-14
1.000000000000000000e+02 5.000000000000000000e-01 9.315107995157189125e-01 -2.826699509542507258e+03 1.395868933074304778e+03 -4.222568442616811808e+03 -9.953843305154919108e-14 -3.530509218307997799e-14 6.389333506717775890e-14
2.000000000000000000e+02 1.000000000000000000e+00 8.941756131310348854e-01 -2.734813431932059757e+03 1.339922156276855731e+03 -4.074735588208915487e+03 1.612598943268039875e-14 -7.660538869913580129e-15 -1.221245327087672194e-15
3.000000000000000000e+02 1.500000000000000000e+00 8.442757256541896238e-01 -2.659374504348171286e+03 1.265147174892803150e+03 -3.924521679240974663e+03 -3.838596107641478739e-14 -7.127631818093504990e-14 3.475691956467130694e-14
4.000000000000000000e+02 2.000000000000000000e+00 8.418469719450026867e-01 -2.479366116962818978e+03 1.261507687459586577e+03 -3.740873804422405556e+03 -8.881784197001252323e-16 -3.624878175401136104e-14 5.490052856771399092e-14
5.000000000000000000e+02 2.500000000000000000e+00 8.429686606950533845e-01 -2.355955068255654623e+03 1.263188538051537535e+03 -3.619143606307191931e+03 5.428990590417015483e-14 -1.287858708565181587e-14 5.884182030513329664e-14
6.000000000000000000e+02 3.000000000000000000e+00 8.555306142191173580e-01 -2.237159111208891773e+03 1.282012625407347286e+03 -3.519171736616238832e+03 3.752553823233029107e-14 9.303668946358811809e-14 4.984901380566952867e-14
7.000000000000000000e+02 3.500000000000000000e+00 8.997697904986644568e-01 -2.067903482892937063e+03 1.348305031062248645e+03 -3.416208513955185481e+03 -9.164891068280667241e-14 4.618527782440651208e-14 -1.121325254871408106e-14
8.000000000000000000e+02 4.000000000000000000e+00 9.212741152680360424e-01 -2.035693911653170744e+03 1.380529261729152040e+03 -3.416223173382322784e+03 -7.527312106958561344e-14 1.959543638463401294e-13 -5.639932965095795225e-14
9.000000000000000000e+02 4.500000000000000000e+00 9.115720104920688183e-01 -2.009804557165676215e+03 1.365990657722365086e+03 -3.375795214888041301e+03 -9.586775817638226727e-14 1.115774139748282323e-13 -9.936496070395151037e-15
1.000000000000000000e+03 5.000000000000000000e+00 9.398599611682272315e-01 -1.886414170795898599e+03 1.408380151810588586e+03 -3.294794322606487185e+03 -1.743050148661495768e-13 1.264544025048053300e-13 4.440892098500626162e-15
