# temperature gamma gamma_standard_error
7.399999999999999911e-01 5.538587247265163160e-01 2.201951759701480105e-02
8.000000000000000444e-01 4.128392158903750331e-01 2.162636459795067717e-02
8.599999999999999867e-01 3.260630685861280464e-01 2.160860540816986197e-02
9.000000000000000222e-01 1.944923781541619268e-01 2.127110262215316933e-02
9.399999999999999467e-01 1.834559771616352808e-01 1.984446499117739279e-02
9.799999999999999822e-01 1.338402761561017229e-01 2.045537312689390055e-02
1.000000000000000000e+00 7.903196175327770190e-02 1.929334572282681917e-02
1.020000000000000018e+00 7.780867912712631507e-02 1.831523491859561245e-02
1.040000000000000036e+00 3.730146119673873745e-02 1.856909158165393967e-02
1.060000000000000053e+00 -7.056810460275786401e-03 1.760658825980954828e-02
1.080000000000000071e+00 -1.745597981461932116e-03 1.675369031506045159e-02
1.090000000000000080e+00 1.224954168980699198e-02 1.775676395285922735e-02
1.100000000000000089e+00 4.505675423522534362e-02 1.762790051764241001e-02
1.110000000000000098e+00 -1.812336552040933260e-02 1.697659649427834400e-02
1.120000000000000107e+00 8.141809976244931968e-03 1.771472729331052126e-02
1.129999999999999893e+00 -4.246605619630306611e-02 1.757149789454067260e-02
1.139999999999999902e+00 -3.614328943759568397e-02 1.801385764987655652e-02
1.149999999999999911e+00 9.278080313702979573e-03 1.770628739588108944e-02
1.159999999999999920e+00 -8.454924440242885713e-04 1.783513490479769412e-02
1.169999999999999929e+00 2.794564946908800057e-02 1.770316930175514641e-02
1.179999999999999938e+00 -5.532923181224118532e-03 1.740714544742640729e-02
1.189999999999999947e+00 2.970714791576880079e-02 1.830781686217058946e-02
1.199999999999999956e+00 -2.435724621789089189e-02 1.769821128194045898e-02
