# rho counts_4x2x2 counts_6x3x3 counts_8x4x4
7.499999999999999722e-03 0.000000000000000000e+00 1.100000000000000000e+01 1.930000000000000000e+03
2.249999999999999917e-02 0.000000000000000000e+00 8.500000000000000000e+01 0.000000000000000000e+00
3.749999999999999861e-02 0.000000000000000000e+00 2.180000000000000000e+02 5.251000000000000000e+03
5.249999999999999806e-02 3.000000000000000000e+00 5.060000000000000000e+02 0.000000000000000000e+00
6.750000000000000444e-02 2.500000000000000000e+01 8.770000000000000000e+02 8.579000000000000000e+03
8.249999999999999001e-02 1.040000000000000000e+02 1.278000000000000000e+03 0.000000000000000000e+00
9.750000000000000333e-02 2.390000000000000000e+02 1.623000000000000000e+03 0.000000000000000000e+00
1.124999999999999889e-01 3.900000000000000000e+02 1.871000000000000000e+03 1.018400000000000000e+04
1.275000000000000022e-01 8.010000000000000000e+02 2.093000000000000000e+03 0.000000000000000000e+00
1.425000000000000155e-01 7.320000000000000000e+02 2.179000000000000000e+03 1.059800000000000000e+04
1.574999999999999734e-01 7.750000000000000000e+02 2.200000000000000000e+03 0.000000000000000000e+00
1.724999999999999867e-01 7.480000000000000000e+02 2.181000000000000000e+03 0.000000000000000000e+00
1.875000000000000000e-01 1.028000000000000000e+03 2.150000000000000000e+03 1.014200000000000000e+04
2.025000000000000133e-01 5.810000000000000000e+02 2.138000000000000000e+03 0.000000000000000000e+00
2.174999999999999711e-01 5.840000000000000000e+02 2.094000000000000000e+03 9.282000000000000000e+03
2.324999999999999845e-01 5.690000000000000000e+02 1.884000000000000000e+03 0.000000000000000000e+00
2.474999999999999978e-01 6.800000000000000000e+02 1.791000000000000000e+03 0.000000000000000000e+00
2.625000000000000111e-01 4.900000000000000000e+02 1.764000000000000000e+03 9.020000000000000000e+03
2.774999999999999689e-01 4.860000000000000000e+02 1.611000000000000000e+03 0.000000000000000000e+00
2.924999999999999822e-01 4.560000000000000000e+02 1.691000000000000000e+03 8.594000000000000000e+03
3.074999999999999956e-01 5.280000000000000000e+02 1.546000000000000000e+03 0.000000000000000000e+00
3.225000000000000089e-01 4.790000000000000000e+02 1.583000000000000000e+03 0.000000000000000000e+00
3.374999999999999667e-01 4.420000000000000000e+02 1.585000000000000000e+03 8.412000000000000000e+03
3.524999999999999800e-01 5.030000000000000000e+02 1.625000000000000000e+03 0.000000000000000000e+00
3.674999999999999933e-01 5.220000000000000000e+02 0.000000000000000000e+00 8.126000000000000000e+03
3.825000000000000067e-01 7.010000000000000000e+02 1.575000000000000000e+03 0.000000000000000000e+00
3.974999999999999645e-01 5.220000000000000000e+02 1.616000000000000000e+03 0.000000000000000000e+00
4.124999999999999778e-01 5.500000000000000000e+02 1.634000000000000000e+03 7.836000000000000000e+03
4.274999999999999911e-01 5.900000000000000000e+02 1.555000000000000000e+03 0.000000000000000000e+00
4.425000000000000044e-01 7.090000000000000000e+02 1.503000000000000000e+03 7.271000000000000000e+03
4.574999999999999623e-01 4.780000000000000000e+02 1.543000000000000000e+03 0.000000000000000000e+00
4.724999999999999756e-01 4.200000000000000000e+02 1.405000000000000000e+03 0.000000000000000000e+00
4.874999999999999889e-01 3.350000000000000000e+02 1.296000000000000000e+03 6.711000000000000000e+03
5.024999999999999467e-01 2.850000000000000000e+02 1.158000000000000000e+03 0.000000000000000000e+00
5.175000000000000711e-01 1.280000000000000000e+02 1.036000000000000000e+03 5.558000000000000000e+03
5.324999999999999734e-01 7.300000000000000000e+01 8.720000000000000000e+02 0.000000000000000000e+00
5.474999999999999867e-01 4.200000000000000000e+01 7.020000000000000000e+02 0.000000000000000000e+00
5.625000000000000000e-01 1.500000000000000000e+01 5.340000000000000000e+02 4.235000000000000000e+03
5.774999999999999023e-01 3.000000000000000000e+00 3.790000000000000000e+02 0.000000000000000000e+00
5.925000000000000266e-01 0.000000000000000000e+00 2.610000000000000000e+02 3.011000000000000000e+03
6.074999999999999289e-01 0.000000000000000000e+00 1.860000000000000000e+02 0.000000000000000000e+00
6.225000000000000533e-01 0.000000000000000000e+00 9.800000000000000000e+01 1.801000000000000000e+03
6.374999999999999556e-01 0.000000000000000000e+00 6.100000000000000000e+01 0.000000000000000000e+00
6.524999999999999689e-01 0.000000000000000000e+00 2.700000000000000000e+01 0.000000000000000000e+00
6.674999999999999822e-01 0.000000000000000000e+00 1.200000000000000000e+01 9.290000000000000000e+02
6.824999999999998845e-01 0.000000000000000000e+00 1.100000000000000000e+01 0.000000000000000000e+00
6.975000000000000089e-01 0.000000000000000000e+00 5.000000000000000000e+00 4.140000000000000000e+02
7.124999999999999112e-01 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00
7.275000000000000355e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.424999999999999378e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.730000000000000000e+02
7.575000000000000622e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.724999999999999645e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e+01
7.874999999999999778e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.024999999999999911e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.174999999999998934e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.700000000000000000e+01
8.325000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.474999999999999201e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.000000000000000000e+00
8.625000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.774999999999999467e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.924999999999999600e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.074999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.224999999999998757e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.375000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.524999999999999023e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.675000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.824999999999999289e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.974999999999999423e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.012499999999999956e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.027499999999999858e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.042499999999999982e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.057500000000000107e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.072500000000000009e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.087499999999999911e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.102500000000000036e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.117499999999999938e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.132499999999999840e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.147499999999999964e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.162500000000000089e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.177499999999999991e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.192499999999999893e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.207500000000000018e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.222499999999999920e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.237499999999999822e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.252499999999999947e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.267500000000000071e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.282499999999999973e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.297499999999999876e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.312500000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.327499999999999902e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.342499999999999805e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.357499999999999929e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.372500000000000053e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.387499999999999956e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.402499999999999858e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.417499999999999982e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.432500000000000107e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.447499999999999787e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.462499999999999911e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.477500000000000036e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.492499999999999938e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
