# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.001001001001001978e+00 -2.967424304603168821e+03 1.500000000000001592e+03 -4.467424304603170640e+03 2.420286193682841258e-14 6.172840016915870365e-14 6.128431095930864103e-14
1.000000000000000000e+02 5.000000000000000000e-01 8.942902371868136635e-01 -2.847060477552079647e+03 1.340093920424440284e+03 -4.187154397976520158e+03 -3.108624468950438313e-14 5.329070518200751394e-14 7.782663402622347348e-14
2.000000000000000000e+02 1.000000000000000000e+00 8.590819961633326951e-01 -2.778242261906718795e+03 1.287334371250753975e+03 -4.065576633157472770e+03 1.332267629550187849e-14 1.033687024865059811e-13 8.659739592076221015e-14
3.000000000000000000e+02 1.500000000000000000e+00 8.155390941726866627e-01 -2.676784041038526084e+03 1.222085332617770973e+03 -3.898869373656296830e+03 -7.371880883511039428e-14 3.403527459866495519e-14 1.156852391659413115e-13
4.000000000000000000e+02 2.000000000000000000e+00 8.113608627611916813e-01 -2.528803463317441128e+03 1.215824252847645766e+03 -3.744627716165086895e+03 -1.377786773559819267e-13 2.595146320061303413e-14 1.387778780781445676e-13
5.000000000000000000e+02 2.500000000000000000e+00 8.174630798768047768e-01 -2.421410085806048301e+03 1.224968425195392001e+03 -3.646378511001440529e+03 -4.529709940470638685e-14 -1.371125435412068327e-14 1.771915947301749839e-13
6.000000000000000000e+02 3.000000000000000000e+00 8.639683177564784211e-01 -2.298598704774917678e+03 1.294656524158082902e+03 -3.593255228933000581e+03 -8.404388296412435011e-14 1.515454428613338678e-14 2.084998840246043983e-13
7.000000000000000000e+02 3.500000000000000000e+00 9.032004107378392987e-01 -2.205299549803850823e+03 1.353445815490652194e+03 -3.558745365294502790e+03 -1.288968931589806743e-13 -1.496025525682398438e-14 1.486033518460772029e-13
8.000000000000000000e+02 4.000000000000000000e+00 9.131194768567616471e-01 -2.152917173103414825e+03 1.368309536069857359e+03 -3.521226709173271956e+03 -1.509903313490212895e-13 5.151434834260726348e-14 2.140509991477301810e-13
9.000000000000000000e+02 4.500000000000000000e+00 9.149410550045666835e-01 -2.103034257495687598e+03 1.371039170924343125e+03 -3.474073428420030723e+03 -1.596500709410975105e-13 -2.720046410331633524e-14 2.360750483987317239e-13
1.000000000000000000e+03 5.000000000000000000e+00 9.308581993517496267e-01 -2.029929861818436166e+03 1.394891011728596823e+03 -3.424820873547032988e+03 -1.678657213233236689e-13 2.736699755701010872e-14 2.344097138617939891e-13
1.100000000000000000e+03 5.500000000000000000e+00 9.450832008755895020e-01 -1.948312332161021914e+03 1.416207176512070873e+03 -3.364519508673092787e+03 -1.637578961322105897e-13 6.505906924303417327e-14 2.667865928174251167e-13
1.200000000000000000e+03 6.000000000000000000e+00 9.667601816095139355e-01 -1.891974927377582617e+03 1.448690132141856566e+03 -3.340665059519439183e+03 -1.135758154191535141e-13 8.526512829121202230e-14 2.505773366578978312e-13
1.300000000000000000e+03 6.500000000000000000e+00 9.210973420393026023e-01 -1.871533260443581412e+03 1.380264367045894915e+03 -3.251797627489476326e+03 -8.909539772616881237e-14 8.937295348232510150e-14 2.470038062973856086e-13
