# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.500000000000001776e+00 -7.244848434927052949e+02 2.250000000000002728e+03 -2.974484843492708023e+03 -4.218847493575594854e-14 -4.529709940470638685e-14 -1.443289932012703503e-14
1.000000000000000000e+02 5.000000000000000000e-01 1.203984935364704301e+00 -7.421709266250697965e+02 1.805977403047056441e+03 -2.548148329672126238e+03 -9.903189379656396341e-14 2.220446049250313081e-16 3.952393967665557284e-14
2.000000000000000000e+02 1.000000000000000000e+00 1.488559483536253447e+00 -7.040005527900902962e+02 2.232839225304380307e+03 -2.936839778094470603e+03 -1.043193309513412714e-13 -7.771561172376095783e-16 5.556666238248908485e-14
3.000000000000000000e+02 1.500000000000000000e+00 1.621817281399264399e+00 -5.855438262345960538e+02 2.432725922098896717e+03 -3.018269748333492771e+03 -1.197930643570543907e-13 -8.393286066166183446e-14 4.581057755359552175e-14
4.000000000000000000e+02 2.000000000000000000e+00 1.716245145655892923e+00 -4.867505027260426687e+02 2.574367718483839326e+03 -3.061118221209881995e+03 -1.280642258905118069e-13 -1.157129947415569404e-13 3.741451592986777541e-14
5.000000000000000000e+02 2.500000000000000000e+00 1.751287417086688336e+00 -3.978496853610813559e+02 2.626931125630032511e+03 -3.024780810991113867e+03 -5.440092820663267048e-14 1.026956297778269800e-14 -9.381384558082572767e-15
6.000000000000000000e+02 3.000000000000000000e+00 1.865020021942358053e+00 -2.880030723272343494e+02 2.797530032913537070e+03 -3.085533105240771420e+03 -9.692247004977616598e-14 -1.545985561790530483e-14 4.596323321948148077e-14
7.000000000000000000e+02 3.500000000000000000e+00 1.910208944622844962e+00 -2.044361920164892581e+02 2.865313416934267480e+03 -3.069749608950756738e+03 -6.139533326177115669e-14 -6.383782391594650107e-14 -2.176037128265306819e-14
8.000000000000000000e+02 4.000000000000000000e+00 2.025788678359017325e+00 -9.513300496422516517e+01 3.038683017538525746e+03 -3.133816022502750911e+03 -8.126832540256145876e-14 6.217248937900876626e-15 -1.598721155460225418e-14
9.000000000000000000e+02 4.500000000000000000e+00 2.039679301897043828e+00 -3.259416481695507173e+01 3.059518952845565764e+03 -3.092113117662520835e+03 -9.747758156208874425e-14 -6.927791673660976812e-14 6.600275881396555633e-14
1.000000000000000000e+03 5.000000000000000000e+00 2.056235194802080724e+00 2.358796007693126739e+01 3.084352792203120771e+03 -3.060764832126189503e+03 -1.627586954100479488e-13 -5.040412531798210694e-14 7.388534228880416777e-14
1.100000000000000000e+03 5.500000000000000000e+00 2.110481387207571391e+00 1.626775182291917190e+02 3.165722080811357046e+03 -3.003044562582165327e+03 -1.398881011027697241e-13 4.130029651605582330e-14 1.298960938811433152e-13
1.200000000000000000e+03 6.000000000000000000e+00 2.135045406306427029e+00 2.707593986629335632e+02 3.202568109459640254e+03 -2.931808710796706691e+03 -1.314504061156185344e-13 3.674838211509268149e-14 1.968425422660402546e-13
1.300000000000000000e+03 6.500000000000000000e+00 2.125074275584442951e+00 3.588595785030261140e+02 3.187611413376664132e+03 -2.828751834873638018e+03 -1.664779425425422232e-13 1.225686219186172821e-13 1.751376821346184443e-13
1.400000000000000000e+03 7.000000000000000000e+00 2.222248901060625670e+00 4.883819639454654862e+02 3.333373351590938455e+03 -2.844991387645472969e+03 -9.464651284929459507e-14 2.442490654175344389e-14 2.362554596402333118e-13
1.500000000000000000e+03 7.500000000000000000e+00 2.299716265173588514e+00 6.432517350433654428e+02 3.449574397760382453e+03 -2.806322662717017010e+03 -4.574118861455644947e-14 9.564571357145723596e-14 1.825206652483757352e-13
1.600000000000000000e+03 8.000000000000000000e+00 2.298999667336319330e+00 7.390168099651268676e+02 3.448499501004479043e+03 -2.709482691039352176e+03 3.441691376337985275e-14 4.973799150320701301e-14 1.639799407371356210e-13
1.700000000000000000e+03 8.500000000000000000e+00 2.314012653141940046e+00 7.963920933933054584e+02 3.471018979712910095e+03 -2.674626886319604637e+03 4.951594689828198170e-14 2.428612866367529932e-15 1.070254995738650905e-13
1.800000000000000000e+03 9.000000000000000000e+00 2.422340071643188431e+00 9.330128994898650490e+02 3.633510107464782777e+03 -2.700497207974917728e+03 1.162403506782538898e-13 4.585221091701896512e-14 7.482903185973555082e-14
1.900000000000000000e+03 9.500000000000000000e+00 2.487461121587684065e+00 1.085192445341935127e+03 3.731191682381526334e+03 -2.645999237039591208e+03 3.452793606584236841e-14 -8.526512829121202230e-14 1.399436122540009819e-13
2.000000000000000000e+03 1.000000000000000000e+01 2.516876749028551519e+00 1.166351062165896565e+03 3.775315123542827223e+03 -2.608964061376930658e+03 4.019007349143066676e-14 2.442490654175344389e-15 1.298960938811433152e-13
2.100000000000000000e+03 1.050000000000000000e+01 2.619389021453005117e+00 1.296235775668392307e+03 3.929083532179507529e+03 -2.632847756511115222e+03 3.735900477863651759e-14 -5.939693181744587491e-14 1.026956297778269800e-13
2.200000000000000000e+03 1.100000000000000000e+01 2.633420848774201684e+00 1.392615192342424507e+03 3.950131273161302488e+03 -2.557516080818877981e+03 7.638334409421076998e-14 2.620126338115369435e-14 1.075250999349464109e-13
2.300000000000000000e+03 1.150000000000000000e+01 2.715253645527726967e+00 1.504512922848951803e+03 4.072880468291590205e+03 -2.568367545442638402e+03 1.026956297778269800e-13 1.059152765492399340e-13 2.753353101070388220e-14
2.400000000000000000e+03 1.200000000000000000e+01 2.736773123906744765e+00 1.595581997401051467e+03 4.105159685860116952e+03 -2.509577688459065484e+03 2.067235271852041478e-13 -7.066569551739121380e-14 2.270406085358445125e-14
2.500000000000000000e+03 1.250000000000000000e+01 2.799370594869009299e+00 1.708898442438235179e+03 4.199055892303514156e+03 -2.490157449865278977e+03 3.401168235939167062e-13 -1.750821709833871864e-13 4.551914400963141816e-14
2.600000000000000000e+03 1.300000000000000000e+01 2.876456533682747452e+00 1.811618591693251801e+03 4.314684800524120874e+03 -2.503066208830869073e+03 3.382294444520539400e-13 -1.221245327087672194e-13 4.080069615497450286e-14
2.700000000000000000e+03 1.350000000000000000e+01 2.915908992659727250e+00 1.893780898929838258e+03 4.373863488989591133e+03 -2.480082590059752874e+03 4.629630012686902774e-13 -1.603162047558726044e-13 -2.520206265899105347e-14
2.800000000000000000e+03 1.400000000000000000e+01 3.000653000470717924e+00 1.983872066011887455e+03 4.500979500706076578e+03 -2.517107434694189124e+03 3.492761635470742476e-13 -2.491340467258851277e-13 -1.310063169057684718e-14
2.900000000000000000e+03 1.450000000000000000e+01 2.992965972719645595e+00 2.091013544007699238e+03 4.489448959079468295e+03 -2.398435415071769057e+03 4.358735594678364578e-13 -1.905142710256768623e-13 -3.730349362740525976e-14
3.000000000000000000e+03 1.500000000000000000e+01 3.065194253678476866e+00 2.150942844362123651e+03 4.597791380517714970e+03 -2.446848536155591319e+03 4.570233080869456899e-13 -9.325873406851314940e-14 -7.172040739078511251e-14
3.100000000000000000e+03 1.550000000000000000e+01 3.178534311498324438e+00 2.254966523538502315e+03 4.767801467247486471e+03 -2.512834943708984156e+03 4.430900091278999753e-13 -1.765254609153998899e-13 -2.553512956637860043e-14
3.200000000000000000e+03 1.600000000000000000e+01 3.184673608172997827e+00 2.309820491053067599e+03 4.777010412259496661e+03 -2.467189921206429062e+03 3.271549697814180035e-13 -1.780797731498751091e-13 -3.430589146091733710e-14
3.300000000000000000e+03 1.650000000000000000e+01 3.238442647623652526e+00 2.429078141020658677e+03 4.857663971435478743e+03 -2.428585830414820066e+03 3.981259766305811354e-13 -1.364464097264317388e-13 -9.525713551283843117e-14
3.400000000000000000e+03 1.700000000000000000e+01 3.268091621279783254e+00 2.513414061315306753e+03 4.902137431919674782e+03 -2.388723370604368029e+03 3.512745649913995294e-13 -1.101896351940467866e-13 2.042810365310288034e-14
3.500000000000000000e+03 1.750000000000000000e+01 3.318293486900509848e+00 2.629186610873365225e+03 4.977440230350764978e+03 -2.348253619477399752e+03 2.891020756123907631e-13 -1.687538997430237941e-13 -2.486899575160350651e-14
3.600000000000000000e+03 1.800000000000000000e+01 3.406417271767659738e+00 2.752402428869695086e+03 5.109625907651489797e+03 -2.357223478781794711e+03 3.206324095117452089e-13 -2.122746423083299305e-13 -5.434541705540141265e-14
3.700000000000000000e+03 1.850000000000000000e+01 3.392386907771488769e+00 2.809733990762482790e+03 5.088580361657232970e+03 -2.278846370894750180e+03 2.284838984678572160e-13 -1.588729148238599009e-13 7.238654120556020644e-14
