# temperature gamma gamma_standard_error
7.399999999999999911e-01 5.292442231330246605e-01 2.216699680878016915e-02
8.000000000000000444e-01 4.067344456217714677e-01 2.158560547838072469e-02
8.599999999999999867e-01 2.815000073312430295e-01 2.122663984443680721e-02
9.000000000000000222e-01 2.440860933253916898e-01 2.109783453256052627e-02
9.399999999999999467e-01 2.172060112114938268e-01 2.084875134585603002e-02
9.799999999999999822e-01 1.202230041667526755e-01 1.950292203072536909e-02
1.000000000000000000e+00 5.807826891324865265e-02 1.892615975190808236e-02
1.020000000000000018e+00 9.307448607641377603e-02 1.839959071339914917e-02
1.040000000000000036e+00 4.237495592962189223e-02 1.817944072271749853e-02
1.060000000000000053e+00 9.336962760572909206e-03 1.797101193597134758e-02
1.080000000000000071e+00 2.185183977837523370e-02 1.852783600759084354e-02
1.090000000000000080e+00 -2.336384857295572062e-02 1.775673617276975549e-02
1.100000000000000089e+00 -1.833858968936999054e-02 1.728472495242779766e-02
1.110000000000000098e+00 3.227882761237221843e-02 1.713260564966742269e-02
1.120000000000000107e+00 -1.053676313673730137e-02 1.716023679739604735e-02
