# temperature U_4x2x2 U_6x3x3 U_8x4x4
7.399999999999999911e-01 1.264319065277153875e+00 1.567335477226217799e+00 1.606641278242481263e+00
8.000000000000000444e-01 1.549495415972059531e+00 1.529981199326043706e+00 1.544343226158243043e+00
8.599999999999999867e-01 1.178497553402755971e+00 1.556911489573889806e+00 1.619843527977321784e+00
9.000000000000000222e-01 1.722194043042288181e+00 1.518497567828328121e+00 1.643859040227213519e+00
9.399999999999999467e-01 1.786461910597139990e+00 1.521656879109420712e+00 1.653830527610741452e+00
9.799999999999999822e-01 1.233171141233263324e+00 1.681753115866527315e+00 1.789204513177316436e+00
1.000000000000000000e+00 1.641070618470135134e+00 1.984392524036835415e+00 2.149431615532225504e+00
1.020000000000000018e+00 1.734079596225493125e+00 1.821533966930815263e+00 2.015875197109938455e+00
1.040000000000000036e+00 1.808377251143143294e+00 2.049998235289531401e+00 2.200915644897218915e+00
1.060000000000000053e+00 2.323105046247411654e+00 2.389097018523302030e+00 2.505834681311980283e+00
1.080000000000000071e+00 2.195424899215485226e+00 2.278443968805130115e+00 2.371234928778508610e+00
1.090000000000000080e+00 2.773262462069404410e+00 2.728008289334140635e+00 2.703060796088869289e+00
1.100000000000000089e+00 2.666608073636934861e+00 2.680705413896067313e+00 2.655621414166038807e+00
1.110000000000000098e+00 2.379073762210788701e+00 2.565987067502450536e+00 2.608795920676465485e+00
1.120000000000000107e+00 2.834947432909117992e+00 2.775373461802482122e+00 2.733475678309389867e+00
