# temperature P_rho_0.0075 P_rho_0.0225 P_rho_0.0375 P_rho_0.0525 P_rho_0.0675 P_rho_0.0825 P_rho_0.0975 P_rho_0.1125 P_rho_0.1275 P_rho_0.1425 P_rho_0.1575 P_rho_0.1725 P_rho_0.1875 P_rho_0.2025 P_rho_0.2175 P_rho_0.2325 P_rho_0.2475 P_rho_0.2625 P_rho_0.2775 P_rho_0.2925 P_rho_0.3075 P_rho_0.3225 P_rho_0.3375 P_rho_0.3525 P_rho_0.3675 P_rho_0.3825 P_rho_0.3975 P_rho_0.4125 P_rho_0.4275 P_rho_0.4425 P_rho_0.4575 P_rho_0.4725 P_rho_0.4875 P_rho_0.5025 P_rho_0.5175 P_rho_0.5325 P_rho_0.5475 P_rho_0.5625 P_rho_0.5775 P_rho_0.5925 P_rho_0.6075 P_rho_0.6225 P_rho_0.6375 P_rho_0.6525 P_rho_0.6675 P_rho_0.6825 P_rho_0.6975 P_rho_0.7125 P_rho_0.7275 P_rho_0.7425 P_rho_0.7575 P_rho_0.7725 P_rho_0.7875 P_rho_0.8025 P_rho_0.8175 P_rho_0.8325 P_rho_0.8475 P_rho_0.8625 P_rho_0.8775 P_rho_0.8925 P_rho_0.9075 P_rho_0.9225 P_rho_0.9375 P_rho_0.9525 P_rho_0.9675 P_rho_0.9825 P_rho_0.9975 P_rho_1.0125 P_rho_1.0275 P_rho_1.0425 P_rho_1.0575 P_rho_1.0725 P_rho_1.0875 P_rho_1.1025 P_rho_1.1175 P_rho_1.1325 P_rho_1.1475 P_rho_1.1625 P_rho_1.1775 P_rho_1.1925 P_rho_1.2075 P_rho_1.2225 P_rho_1.2375 P_rho_1.2525 P_rho_1.2675 P_rho_1.2825 P_rho_1.2975 P_rho_1.3125 P_rho_1.3275 P_rho_1.3425 P_rho_1.3575 P_rho_1.3725 P_rho_1.3875 P_rho_1.4025 P_rho_1.4175 P_rho_1.4325 P_rho_1.4475 P_rho_1.4625 P_rho_1.4775 P_rho_1.4925
7.399999999999999911e-01 1.347418014084680848e+01 9.344976011642678770e+00 4.649671316337983029e+00 2.253302253302253533e+00 1.439301439301439389e+00 9.398009398009398163e-01 7.042340375673709074e-01 5.809005809005809429e-01 4.464671131337798471e-01 4.760671427338094563e-01 5.340338673672007097e-01 6.388673055339721962e-01 6.376339709673043421e-01 7.449340782674116479e-01 8.066008066008066857e-01 8.275674942341609830e-01 8.756675423342090703e-01 8.238674905341573096e-01 7.338340671674005167e-01 6.919006919006919221e-01 5.611672278338944997e-01 5.167671834338500858e-01 4.440004440004440278e-01 3.712337045670379143e-01 0.000000000000000000e+00 3.169669836336503344e-01 2.170668837335504031e-01 1.726668393335060170e-01 1.036001036001036046e-01 8.386675053341720310e-02 4.933338266671600386e-02 5.673339006672340618e-02 8.140008140008141158e-02 1.110001110001110070e-01 1.393668060334727066e-01 2.035002035002035081e-01 2.762669429336095939e-01 3.663003663003663313e-01 4.341337674671008062e-01 5.759672426339093043e-01 6.795673462340129367e-01 8.362008362008362949e-01 8.719675386342053969e-01 1.052034385367718761e+00 1.193867860534527203e+00 1.334468001134667903e+00 1.577434910768244158e+00 1.809301809301809394e+00 1.940035273368606816e+00 0.000000000000000000e+00 2.023902023902024006e+00 1.801901801901802047e+00 1.656368323034989709e+00 1.209901209901210084e+00 8.349675016341683298e-01 5.402005402005402024e-01 3.169669836336503344e-01 1.554001554001554208e-01 8.263341596674930734e-02 2.713336046669380039e-02 9.866676533343200772e-03 4.933338266671600386e-03 2.466669133335800193e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000444e-01 8.106708106708106598e+00 1.007141007141007272e+01 6.899273565940233333e+00 3.970103970103970425e+00 1.958535291868625405e+00 1.060667727334394073e+00 6.043339376672710594e-01 2.849002849002849058e-01 1.677335010668344062e-01 1.307334640667974224e-01 1.134667801334468124e-01 1.233334566667900062e-01 1.480001480001480185e-01 2.183002183002183128e-01 2.281668948335615066e-01 2.812002812002812324e-01 3.552003552003552000e-01 4.119337452670786548e-01 4.748338081671415467e-01 5.895339228672562548e-01 5.796672463339130887e-01 6.795673462340129367e-01 6.734006734006734440e-01 7.276673943340610240e-01 0.000000000000000000e+00 7.609674276340943067e-01 8.164674831341498518e-01 8.855342188675522364e-01 8.078341411674745398e-01 9.213009213009213383e-01 8.769008769008769244e-01 8.510008510008510996e-01 8.806008806008807088e-01 9.459676126342794200e-01 9.176009176009176649e-01 9.200675867342534842e-01 8.769008769008769244e-01 8.904675571342238749e-01 8.954008954008955135e-01 9.237675904342571576e-01 8.312674979341646564e-01 8.929342262675596942e-01 8.695008695008695776e-01 1.019967686634353443e+00 1.095201095201095320e+00 1.277734611067944392e+00 1.454101454101454305e+00 1.561401561401561500e+00 1.483701483701483692e+00 0.000000000000000000e+00 1.352968019634686492e+00 1.022434355767689151e+00 7.535674202340869599e-01 4.834671501338168587e-01 2.849002849002849058e-01 1.344334677668010958e-01 7.770007770007771042e-02 3.083336416669750155e-02 9.866676533343200772e-03 1.233334566667900097e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.599999999999999867e-01 3.152403152403152831e+00 5.638805638805639120e+00 5.815172481839148588e+00 4.605271271937938948e+00 3.365770032436699477e+00 2.370469037135703783e+00 1.813001813001813067e+00 1.477534810868144310e+00 1.357901357901357908e+00 1.253067919734586422e+00 1.217301217301217431e+00 1.135901135901135950e+00 1.167967834634501489e+00 1.121101121101121256e+00 1.016267682934349770e+00 9.792676459343127027e-01 9.176009176009176649e-01 9.287009287009287961e-01 8.078341411674745398e-01 7.387674054340721552e-01 6.869673536340203945e-01 5.426672093338760217e-01 4.489337822671156109e-01 3.700003700003700047e-01 0.000000000000000000e+00 3.354670021336688124e-01 2.762669429336095939e-01 2.516002516002516232e-01 2.380335713669047282e-01 1.874668541335208216e-01 1.739001739001738989e-01 2.318668985335652077e-01 2.466669133335800124e-01 3.034003034003034394e-01 4.464671131337798471e-01 5.981672648339315668e-01 7.067007067007067267e-01 9.755676422343089182e-01 1.074234407567741023e+00 1.386268052934719774e+00 1.741468408135074863e+00 1.921535254868588227e+00 2.058435391768725253e+00 2.162035495368828997e+00 2.001702001702001965e+00 1.840135173468506968e+00 1.547834881168214549e+00 1.149467816134482900e+00 7.893341226674560618e-01 0.000000000000000000e+00 5.130671797338464124e-01 3.157336490669824247e-01 1.554001554001554208e-01 6.783340116673450271e-02 2.466669133335800193e-02 9.866676533343200772e-03 4.933338266671600386e-03 2.466669133335800193e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000222e-01 1.449168115834782666e+00 3.827037160370494018e+00 5.479705479705479831e+00 5.744872411539078350e+00 4.992538325871659133e+00 3.804837138170471977e+00 2.788569455236121986e+00 1.843835177168510642e+00 1.290067956734623378e+00 8.053674720341387205e-01 5.673339006672339924e-01 3.983670650337317043e-01 2.972336305669639467e-01 2.405002405002405197e-01 1.702001702001702255e-01 2.035002035002035081e-01 2.405002405002405197e-01 3.305336638669972293e-01 3.860337193670527189e-01 5.093671760338427390e-01 5.303338636671970363e-01 6.808006808006809019e-01 7.498674165340832865e-01 8.584008584008584464e-01 0.000000000000000000e+00 9.472009472009472741e-01 1.105067771734438375e+00 1.110001110001110014e+00 1.206201206201206189e+00 1.235801235801235798e+00 1.339401339401339541e+00 1.224701224701224778e+00 1.277734611067944392e+00 1.293767960434627273e+00 1.315967982634649314e+00 1.232101232101232124e+00 1.135901135901135950e+00 1.149467816134482900e+00 1.128501128501128603e+00 1.256767923434590095e+00 1.314734648067981571e+00 1.424501424501424696e+00 1.465201465201465325e+00 1.382568049234716101e+00 1.365301365301365477e+00 1.123567790234456965e+00 8.769008769008769244e-01 6.450339783673116889e-01 4.008337341670675236e-01 0.000000000000000000e+00 2.553002553002552966e-01 1.319667986334653043e-01 7.646674313340980078e-02 4.193337526670860155e-02 9.866676533343200772e-03 3.700003700003700290e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.233334566667900097e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.399999999999999467e-01 1.034767701434368137e+00 3.162269828936495664e+00 4.897571564238231367e+00 5.520405520405520683e+00 4.925938259271593012e+00 4.115637448970782764e+00 2.942736276069609413e+00 2.147235480568813859e+00 1.524401524401524544e+00 1.049567716234383052e+00 8.041341374674708664e-01 6.055672722339389136e-01 3.860337193670527189e-01 3.428670095336762147e-01 3.416336749670083051e-01 3.071003071003071128e-01 3.761670428337095529e-01 4.008337341670675236e-01 4.168670835337502378e-01 4.859338192671526224e-01 5.957005957005957475e-01 6.647673314339981321e-01 7.042340375673709074e-01 8.645675312341979390e-01 0.000000000000000000e+00 9.694009694009694256e-01 9.916009916009916880e-01 1.103834437167770632e+00 1.167967834634501489e+00 1.304867971534638293e+00 1.241967908634575402e+00 1.234567901234568055e+00 1.251834585167918679e+00 1.182767849434516183e+00 1.133434466767800242e+00 1.249367916034582748e+00 1.270334603667937046e+00 1.283901283901283996e+00 1.338168004834671576e+00 1.383801383801383844e+00 1.467668134334801033e+00 1.561401561401561500e+00 1.554001554001554153e+00 1.408468075134741815e+00 1.200034533367866807e+00 9.287009287009287961e-01 7.276673943340610240e-01 4.921004921004921151e-01 3.021669688336355297e-01 0.000000000000000000e+00 1.554001554001554208e-01 8.633341966675300849e-02 3.576670243336910193e-02 1.233334566667900097e-02 3.700003700003700290e-03 6.166672833339500483e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.799999999999999822e-01 3.663003663003663313e-01 1.249367916034582748e+00 2.317435650768984168e+00 3.309036642369975745e+00 3.658070324736991452e+00 3.600103600103600421e+00 3.220236553569887139e+00 2.788569455236121986e+00 2.469135802469136109e+00 2.042402042402042373e+00 1.848768515435182280e+00 1.705701705701705873e+00 1.508368175034841885e+00 1.401068067734734468e+00 1.370234703568036894e+00 1.352968019634686492e+00 1.306101306101306259e+00 1.144534477867811262e+00 1.108767775434442271e+00 1.119867786534453291e+00 1.027367694034360790e+00 9.496676163342830934e-01 8.929342262675596942e-01 7.720674387341054379e-01 0.000000000000000000e+00 7.523340856674191057e-01 7.350674017340684818e-01 7.276673943340610240e-01 7.523340856674191057e-01 7.338340671674005167e-01 8.571675238341905922e-01 9.817343150676485219e-01 1.137134470467803915e+00 1.221001221001221104e+00 1.438068104734771424e+00 1.608268274934941733e+00 1.734068400735067517e+00 1.747635080968414467e+00 1.721735055068388531e+00 1.862335195668529231e+00 1.586068252734919470e+00 1.333234666567999938e+00 1.092734426067759390e+00 8.066008066008066857e-01 5.895339228672562548e-01 3.490336823670157074e-01 1.788335121668455097e-01 1.048334381667715004e-01 4.686671353338020540e-02 0.000000000000000000e+00 2.590002590002590116e-02 1.110001110001110000e-02 0.000000000000000000e+00 1.233334566667900097e-03 1.233334566667900097e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 2.466669133335800193e-02 1.517001517001517197e-01 4.205670872337539112e-01 8.843008843008843822e-01 1.503434836768170246e+00 1.803135136468470012e+00 2.327302327302327445e+00 2.482702482702483060e+00 2.837902837902837927e+00 2.844069510736177531e+00 2.836669503336170184e+00 2.754036087369420738e+00 2.636869303535970488e+00 2.496269162935829566e+00 2.437069103735770348e+00 2.121335454668788145e+00 2.152168818835485720e+00 1.833968500635167365e+00 1.830268496935163691e+00 1.766135099468432834e+00 1.685968352635019318e+00 1.621834955168288683e+00 1.584834918168251505e+00 1.515768182434849232e+00 0.000000000000000000e+00 1.491101491101491261e+00 1.537968204634871494e+00 1.603334936668270094e+00 1.610734944068277441e+00 1.676101676101676263e+00 1.700768367435034234e+00 1.737768404435071190e+00 1.631701631701631738e+00 1.655134988468321966e+00 1.607034940368273768e+00 1.348034681368014853e+00 1.154401154401154539e+00 9.546009546009546209e-01 7.708341041674375838e-01 5.846005846005846163e-01 4.082337415670749259e-01 3.095669762336429320e-01 1.566334899668233027e-01 9.990009990009990348e-02 3.823337156670490039e-02 1.973335306668640154e-02 8.633341966675299808e-03 8.633341966675299808e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.020000000000000018e+00 4.563337896671230270e-02 2.762669429336095939e-01 6.401006401006401614e-01 1.301167967834634620e+00 2.017735351068684402e+00 2.640569307235974161e+00 3.003169669836336819e+00 3.149936483269816900e+00 3.191869858536525495e+00 3.080869747536414405e+00 2.789802789802790173e+00 2.511069177735844704e+00 2.184235517568851037e+00 1.952368619035285802e+00 1.642801642801642981e+00 1.491101491101491261e+00 1.455334788668122048e+00 1.232101232101232124e+00 1.272801272801272976e+00 1.237034570367903763e+00 1.308567975234641967e+00 1.340634673968007284e+00 1.399834733168066503e+00 1.440534773868107354e+00 0.000000000000000000e+00 1.435601435601435716e+00 1.505901505901505955e+00 1.554001554001554153e+00 1.608268274934941733e+00 1.652668319334986036e+00 1.663768330434997278e+00 1.776001776001776111e+00 1.694601694601694630e+00 1.678568345235011972e+00 1.620601620601620718e+00 1.583601583601583762e+00 1.361601361601361804e+00 1.272801272801272976e+00 9.854343187676521953e-01 8.793675460342127437e-01 6.203672870339537182e-01 4.649671316337983251e-01 2.787336120669454131e-01 1.973335306668640154e-01 1.122334455667789027e-01 5.920005920005920463e-02 2.960002960002960232e-02 1.973335306668640154e-02 4.933338266671600386e-03 0.000000000000000000e+00 1.233334566667900097e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.040000000000000036e+00 1.356668023334690019e-02 1.048334381667715004e-01 2.688669355336021916e-01 6.240672907339573916e-01 1.081634414967748370e+00 1.576201576201576415e+00 2.001702001702001965e+00 2.307568974235640891e+00 2.581369248035914943e+00 2.687436020769354172e+00 2.713336046669380330e+00 2.689902689902690103e+00 2.651669318335985182e+00 2.636869303535970488e+00 2.582602582602582686e+00 2.323602323602323771e+00 2.208902208902209008e+00 2.175602175602175947e+00 1.986901986901987049e+00 2.085568752235419154e+00 1.906735240068573534e+00 1.952368619035285802e+00 1.954835288168621732e+00 2.004168670835337451e+00 0.000000000000000000e+00 1.942501942501942525e+00 1.993068659735326431e+00 2.015268681935348916e+00 1.917835251168584554e+00 1.853701853701853919e+00 1.903035236368569860e+00 1.732835066168399552e+00 1.598401598401598456e+00 1.428201428201428369e+00 1.277734611067944392e+00 1.075467742134408766e+00 8.658008658008659042e-01 6.586006586006586394e-01 4.674338007671341444e-01 3.219003219003219174e-01 2.294002294002294162e-01 1.208667875334542147e-01 7.523340856674190502e-02 3.330003330003330347e-02 1.480001480001480116e-02 1.356668023334690019e-02 6.166672833339500483e-03 1.233334566667900097e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.060000000000000053e+00 1.233334566667900097e-03 1.603334936668270039e-02 4.193337526670860155e-02 1.554001554001554208e-01 3.280669947336614101e-01 6.832673499340166101e-01 9.459676126342794200e-01 1.365301365301365477e+00 1.813001813001813067e+00 2.118868785535452215e+00 2.412402412402412377e+00 2.714569381236048073e+00 2.744169410836077905e+00 3.051269717936385018e+00 3.165969832636499337e+00 3.170903170903171198e+00 3.339870006536673319e+00 3.141303141303141366e+00 3.133903133903134020e+00 3.157336490669824247e+00 3.179536512869846288e+00 2.939036272369605740e+00 2.894636227969561659e+00 2.772536105869439549e+00 0.000000000000000000e+00 2.476535809869143456e+00 2.363069029735696436e+00 2.276735610068943760e+00 1.954835288168621732e+00 1.752568419235086106e+00 1.547834881168214549e+00 1.301167967834634620e+00 1.045867712534379379e+00 8.078341411674745398e-01 6.364006364006364880e-01 4.464671131337798471e-01 2.861336194669528155e-01 1.911668578335245228e-01 1.356668023334690054e-01 7.523340856674190502e-02 4.563337896671230270e-02 1.973335306668640154e-02 1.110001110001110000e-02 4.933338266671600386e-03 0.000000000000000000e+00 1.233334566667900097e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
