# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.001001001001000423e+00 -2.967424304603187011e+03 1.499999999999999091e+03 -4.467424304603186101e+03 1.904032487232143467e-14 -2.692290834716004611e-14 4.174438572590588592e-14
1.000000000000000000e+02 5.000000000000000000e-01 8.373637713596567833e-01 -2.966836417666613670e+03 1.254789611382445628e+03 -4.221626029049059071e+03 4.295175326518574366e-14 -3.108624468950438313e-14 2.020605904817784904e-14
2.000000000000000000e+02 1.000000000000000000e+00 7.781401507521872318e-01 -2.966845992783139991e+03 1.166043015902152547e+03 -4.132889008685292538e+03 -5.679484660348066427e-14 2.953193245502916398e-14 5.762057497804562445e-14
3.000000000000000000e+02 1.500000000000000000e+00 7.367204885496899669e-01 -2.966731005788719358e+03 1.103975652091710344e+03 -4.070706657880429702e+03 5.939693181744587491e-14 1.898481372109017684e-14 1.620925615952728549e-14
4.000000000000000000e+02 2.000000000000000000e+00 7.196573505341220534e-01 -2.966669267363453400e+03 1.078406539775381816e+03 -4.045075807138834989e+03 1.090239010181903723e-13 2.287059430727822473e-14 5.184741524999481044e-14
5.000000000000000000e+02 2.500000000000000000e+00 7.046277818903547985e-01 -2.966731456125053228e+03 1.055884731162696653e+03 -4.022616187287750108e+03 1.048050535246147774e-13 1.465494392505206633e-14 1.093569679255779192e-14
6.000000000000000000e+02 3.000000000000000000e+00 7.380505442938644078e-01 -2.966773440797384865e+03 1.105968740624355860e+03 -4.072742181421740952e+03 1.398881011027697241e-13 9.547918011776346248e-15 2.198241588757809950e-14
7.000000000000000000e+02 3.500000000000000000e+00 7.374191313243906309e-01 -2.966752638089691573e+03 1.105022568289599349e+03 -4.071775206379290921e+03 8.548717289613705361e-14 4.751754545395669993e-14 8.282263763703667792e-14
8.000000000000000000e+02 4.000000000000000000e+00 7.628857939770554708e-01 -2.966823730729396630e+03 1.143184362274617570e+03 -4.110008093004013972e+03 1.896260926059767371e-13 5.447031714567174276e-14 1.147970607462411863e-13
9.000000000000000000e+02 4.500000000000000000e+00 7.698007045247439173e-01 -2.966773951817845500e+03 1.153546355730328742e+03 -4.120320307548174242e+03 1.056932319443149026e-13 1.025846074753644643e-13 1.101341240428155288e-13
1.000000000000000000e+03 5.000000000000000000e+00 7.904811993783702473e-01 -2.966839997117691382e+03 1.184536077268487816e+03 -4.151376074386179425e+03 8.334999357373362727e-14 7.351064201799317743e-14 7.438494264988548821e-14
1.100000000000000000e+03 5.500000000000000000e+00 7.670501216827798618e-01 -2.966803574083784497e+03 1.149424607341645697e+03 -4.116228181425430193e+03 7.701478343946632776e-14 8.459899447643692838e-14 6.616929226765932981e-14
1.200000000000000000e+03 6.000000000000000000e+00 7.422659578359581678e-01 -2.966701434362165855e+03 1.112285537817183240e+03 -4.078986972179348868e+03 9.969802761133905733e-14 5.850875339774574968e-14 7.460698725481051952e-14
1.300000000000000000e+03 6.500000000000000000e+00 7.522412036059915597e-01 -2.966681587192685583e+03 1.127233443603578280e+03 -4.093915030796264091e+03 1.011829509067752042e-13 7.335798635210721841e-14 3.708144902248022845e-14
1.400000000000000000e+03 7.000000000000000000e+00 7.224769281601961524e-01 -2.966704682924978442e+03 1.082631676848053985e+03 -4.049336359773032655e+03 1.313393838131560187e-13 1.295630269737557683e-13 4.063416270128072938e-14
1.500000000000000000e+03 7.500000000000000000e+00 7.465024918326250702e-01 -2.966797092387352222e+03 1.118633984011188659e+03 -4.085431076398540881e+03 1.806332861065129691e-13 1.407762795224698493e-13 7.094325127354750293e-14
1.600000000000000000e+03 8.000000000000000000e+00 7.407428069131881676e-01 -2.966852813242291631e+03 1.110003096159412507e+03 -4.076855909401704139e+03 1.226796442210797977e-13 1.414424133372449432e-13 3.436140261214859493e-14
1.700000000000000000e+03 8.500000000000000000e+00 7.502592980753411966e-01 -2.966815342245929969e+03 1.124263558165898758e+03 -4.091078900411828727e+03 1.685318551380987628e-13 1.045274977684584883e-13 5.839773109528323403e-14
1.800000000000000000e+03 9.000000000000000000e+00 7.481963786043603903e-01 -2.966797291444403982e+03 1.121172273338634113e+03 -4.087969564783038095e+03 1.547650896327468217e-13 7.305267502033530036e-14 7.271960811294775340e-14
1.900000000000000000e+03 9.500000000000000000e+00 7.733663168768349916e-01 -2.966824083302046802e+03 1.158889425839937303e+03 -4.125713509141984105e+03 1.660338533326921606e-13 2.914335439641035919e-14 8.348877145181177184e-14
2.000000000000000000e+03 1.000000000000000000e+01 7.486660942852043643e-01 -2.966786968950046685e+03 1.121876142286378808e+03 -4.088663111236425721e+03 1.800226634429691330e-13 1.743050148661495768e-14 1.412203687323199119e-13
2.100000000000000000e+03 1.050000000000000000e+01 7.575440144369767204e-01 -2.966779803724834437e+03 1.135179705633809590e+03 -4.101959509358644027e+03 2.404743071338089067e-13 1.731947918415244203e-14 1.374456104485943797e-13
2.200000000000000000e+03 1.100000000000000000e+01 7.759808354107612383e-01 -2.966850195808181979e+03 1.162807281863025764e+03 -4.129657477671207744e+03 1.449118602891985574e-13 -2.131628207280300558e-14 1.880579025836937035e-13
2.300000000000000000e+03 1.150000000000000000e+01 7.593920907045697000e-01 -2.966695909571945776e+03 1.137949047920797739e+03 -4.104644957492743742e+03 1.778022173937188199e-13 1.199040866595169064e-14 2.260414078136818716e-13
2.400000000000000000e+03 1.200000000000000000e+01 7.627351400043254070e-01 -2.966754982494106571e+03 1.142958607296481659e+03 -4.109713589790588230e+03 1.572075802869221661e-13 5.362377208939506090e-14 2.108591079519328559e-13
2.500000000000000000e+03 1.250000000000000000e+01 7.522950789913612768e-01 -2.966767331751665552e+03 1.127314175868554912e+03 -4.094081507620220691e+03 1.235678226407799229e-13 8.681944052568724146e-14 1.876276911616514553e-13
2.600000000000000000e+03 1.300000000000000000e+01 7.299358576556725930e-01 -2.966754918033941976e+03 1.093808882697025410e+03 -4.060563800730967614e+03 1.945110739143274259e-13 9.992007221626408864e-14 2.361444373377707961e-13
2.700000000000000000e+03 1.350000000000000000e+01 7.258568415760284775e-01 -2.966703222377505881e+03 1.087696477101678738e+03 -4.054399699479184619e+03 2.278177646530821221e-13 7.971401316808623960e-14 2.498001805406602216e-13
2.800000000000000000e+03 1.400000000000000000e+01 7.482370318495364936e-01 -2.966824405615397154e+03 1.121233192226530491e+03 -4.088057597841927873e+03 2.444711100224594702e-13 6.683542608243442373e-14 2.567945855957987078e-13
2.900000000000000000e+03 1.450000000000000000e+01 7.151105148259527811e-01 -2.966708775501488162e+03 1.071593106466690188e+03 -4.038301881968178350e+03 2.823297151621773082e-13 7.196326867742186550e-14 2.695621503789880080e-13
3.000000000000000000e+03 1.500000000000000000e+01 7.253207272353769941e-01 -2.966752029280980423e+03 1.086893109762212362e+03 -4.053645139043192557e+03 2.957634137601417024e-13 2.293304435241338979e-14 2.934319454084288736e-13
3.100000000000000000e+03 1.550000000000000000e+01 7.361056061803178396e-01 -2.966803648081927349e+03 1.103054250861206356e+03 -4.069857898943133932e+03 3.466116282879738719e-13 7.271960811294775340e-15 3.237410339806956472e-13
3.200000000000000000e+03 1.600000000000000000e+01 7.332821528291459945e-01 -2.966735033021253457e+03 1.098823306014475293e+03 -4.065558339035728750e+03 3.448352714485736215e-13 3.293199046794370588e-14 3.651939861626374295e-13
3.300000000000000000e+03 1.650000000000000000e+01 7.349327868521986495e-01 -2.966696069686649025e+03 1.101296781098019665e+03 -4.067992850784668462e+03 4.065081604665010673e-13 4.996003610813204432e-15 3.583244811977692734e-13
3.400000000000000000e+03 1.700000000000000000e+01 7.366544585393102196e-01 -2.966729322358237368e+03 1.103876706121156303e+03 -4.070606028479393444e+03 4.147793219999584835e-13 2.231548279496564646e-14 3.614331056667197117e-13
3.500000000000000000e+03 1.750000000000000000e+01 7.353171183434124014e-01 -2.966693206991323677e+03 1.101872701837603472e+03 -4.068565908828927149e+03 3.858025010572418978e-13 1.121325254871408106e-14 3.745892485085278167e-13
3.600000000000000000e+03 1.800000000000000000e+01 7.534819766105286254e-01 -2.966755845094487540e+03 1.129092741950877098e+03 -4.095848587045364638e+03 3.742561816011402698e-13 -4.218847493575594854e-15 4.173883461078276014e-13
3.700000000000000000e+03 1.850000000000000000e+01 7.488682388526207712e-01 -2.966764982723067078e+03 1.122179055920652218e+03 -4.088944038643719523e+03 3.622102617839573213e-13 -1.976196983832778642e-14 3.642641743795138609e-13
3.800000000000000000e+03 1.900000000000000000e+01 7.484395858763009945e-01 -2.966651088846454513e+03 1.121536719435636996e+03 -4.088187808282091737e+03 3.026467965128176729e-13 2.831068712794149178e-14 3.004263504635673598e-13
3.900000000000000000e+03 1.950000000000000000e+01 7.212683992746143913e-01 -2.966688205104016561e+03 1.080820696313009648e+03 -4.047508901417026209e+03 3.438360707264109806e-13 5.195843755245732609e-14 3.006483950684923911e-13
4.000000000000000000e+03 2.000000000000000000e+01 7.243733775213649917e-01 -2.966667529169068985e+03 1.085473506215765383e+03 -4.052141035384834595e+03 2.828848266744898865e-13 1.254552017826426891e-14 3.456124275658112310e-13
4.100000000000000000e+03 2.050000000000000000e+01 7.405195437781634249e-01 -2.966736566958008552e+03 1.109668536351577814e+03 -4.076405103309586593e+03 2.607913884844492713e-13 4.074518500374324503e-14 2.968181256335356011e-13
