# step time temperature total_energy kinetic_energy potential_energy Px Py Pz
0.000000000000000000e+00 0.000000000000000000e+00 1.061061061061062016e+00 -2.877424304603168821e+03 1.590000000000001592e+03 -4.467424304603170640e+03 -6.794564910705958027e-14 1.953992523340275511e-14 -8.171241461241152138e-14
1.000000000000000000e+02 5.000000000000000000e-01 9.520123551073434998e-01 -2.695800986689277579e+03 1.426590514128354243e+03 -4.122391500817631822e+03 6.461498003318411065e-14 8.222589276130065628e-14 -1.101341240428155288e-13
2.000000000000000000e+02 1.000000000000000000e+00 9.163919940721302337e-01 -2.581162909540455985e+03 1.373213403117087182e+03 -3.954376312657543167e+03 1.728513165932810125e-13 -4.662936703425657470e-15 -1.287858708565181587e-13
3.000000000000000000e+02 1.500000000000000000e+00 8.844638286255821491e-01 -2.460506794364177040e+03 1.325369047195434860e+03 -3.785875841559611672e+03 -2.477879013085271254e-13 1.315614284180810500e-14 -1.983968545005154738e-13
4.000000000000000000e+02 2.000000000000000000e+00 8.727717698243235844e-01 -2.338682816416678179e+03 1.307848497081748974e+03 -3.646531313498427153e+03 -1.088018564132653410e-14 8.459899447643692838e-14 -1.301181384860683465e-13
5.000000000000000000e+02 2.500000000000000000e+00 8.585186687332901911e-01 -2.201434783222643091e+03 1.286490225096835275e+03 -3.487925008319478366e+03 -3.725908470642025350e-13 2.842170943040400743e-14 -9.481304630298836855e-14
6.000000000000000000e+02 3.000000000000000000e+00 8.647015158570698912e-01 -2.079780650100497951e+03 1.295755221511819173e+03 -3.375535871612316896e+03 -3.894801148263127288e-13 5.800915303666442924e-15 -1.261213355974177830e-13
7.000000000000000000e+02 3.500000000000000000e+00 8.855472737645909698e-01 -1.939585905572657339e+03 1.326992589736239552e+03 -3.266578495308896890e+03 -2.077227279073667887e-13 3.241851231905457098e-14 -8.826273045769994496e-14
8.000000000000000000e+02 4.000000000000000000e+00 8.943034572017913852e-01 -1.826393573864706013e+03 1.340113730616884368e+03 -3.166507304481590381e+03 -1.774136393351000152e-13 5.989046064636127653e-14 -1.534328220031966339e-13
9.000000000000000000e+02 4.500000000000000000e+00 9.465319306185949744e-01 -1.720464386694162158e+03 1.418378098031964555e+03 -3.138842484726126713e+03 -2.462474668618597207e-13 -1.287858708565181587e-14 -1.660893644839234184e-13
1.000000000000000000e+03 5.000000000000000000e+00 9.356075557207306215e-01 -1.678572141758462067e+03 1.402007922247514898e+03 -3.080580064005976965e+03 -2.735034421164073137e-13 3.208544541166702402e-14 -1.280087147392805491e-13
1.100000000000000000e+03 5.500000000000000000e+00 9.348895345860249728e-01 -1.649768816414848061e+03 1.400931967577158503e+03 -3.050700783992006563e+03 -3.513300761426307872e-13 -3.586020369539255626e-14 -1.314504061156185344e-13
1.200000000000000000e+03 6.000000000000000000e+00 9.707453505734714438e-01 -1.558875834968578147e+03 1.454661907834346948e+03 -3.013537742802925095e+03 -3.095301792654936435e-13 -4.526934382909075794e-14 -5.395683899678260786e-14
1.300000000000000000e+03 6.500000000000000000e+00 1.006659450389066013e+00 -1.500699393410513267e+03 1.508479186408015494e+03 -3.009178579818528760e+03 -3.963496197911808849e-13 5.484501741648273310e-14 -9.858780458671390079e-14
1.400000000000000000e+03 7.000000000000000000e+00 1.008135284877717197e+00 -1.462303900836417597e+03 1.510690724389259231e+03 -2.972994625225676828e+03 -4.023448241241567302e-13 1.143529715363911237e-13 -1.181277298201166559e-13
1.500000000000000000e+03 7.500000000000000000e+00 9.732369433557799265e-01 -1.458817620161351215e+03 1.458395559618636298e+03 -2.917213179779987513e+03 -4.551060049651223238e-13 1.131872373605347093e-13 -1.171840402491852728e-13
1.600000000000000000e+03 8.000000000000000000e+00 1.008464058831860077e+00 -1.375295892685814351e+03 1.511183392159542336e+03 -2.886479284845356688e+03 -3.635980405647387670e-13 5.076494780098528281e-14 -1.363353874239692232e-13
1.700000000000000000e+03 8.500000000000000000e+00 9.727659003992020770e-01 -1.387262942930124609e+03 1.457689701748204243e+03 -2.844952644678328852e+03 -4.368727601899990987e-13 9.377568166435423791e-14 -1.305622276959184092e-13
1.800000000000000000e+03 9.000000000000000000e+00 1.030983632741888645e+00 -1.318328584913252598e+03 1.544928973663720171e+03 -2.863257558576972770e+03 -4.798939023942239146e-13 8.593126210598711623e-14 -1.408040350980854782e-13
1.900000000000000000e+03 9.500000000000000000e+00 1.010341494422727582e+00 -1.298661490087267566e+03 1.513996729392457155e+03 -2.812658219479724721e+03 -4.353739591067551373e-13 7.749356711883592652e-14 -1.740829702612245455e-13
2.000000000000000000e+03 1.000000000000000000e+01 1.041227779572604817e+00 -1.270151823257555861e+03 1.560279827689548256e+03 -2.830431650947104117e+03 -5.379585665821196017e-13 1.632027846198980114e-13 -1.239008895481674699e-13
2.100000000000000000e+03 1.050000000000000000e+01 1.064247555995971872e+00 -1.167084954018914686e+03 1.594774962659963876e+03 -2.761859916678878562e+03 -6.878941860577469924e-13 1.181277298201166559e-13 -2.708944180085381959e-14
2.200000000000000000e+03 1.100000000000000000e+01 1.088508735742343303e+00 -1.146024233690485289e+03 1.631130340509901544e+03 -2.777154574200386833e+03 -5.618838727627917251e-13 1.229016888260048290e-13 -1.421085471520200372e-13
2.300000000000000000e+03 1.150000000000000000e+01 1.065083938579193479e+00 -1.181367098505145805e+03 1.596028281960921504e+03 -2.777395380466067309e+03 -6.870615187892781250e-13 9.153788838034415676e-14 -1.534328220031966339e-13
